Domain description,Recall classes,Recall attributes,Recall associations,Precision
aircraft manufacturing-01,1.00,1.00,1.00,0.20
aircraft manufacturing-02,1.00,1.00,1.00,0.28
aircraft manufacturing-03,1.00,1.00,1.00,0.20
conference papers-01,1.00,1.00,1.00,0.20
conference papers-02,1.00,1.00,1.00,0.24
conference papers-03,1.00,1.00,1.00,0.22
farming-01,1.00,1.00,1.00,0.09
farming-02,1.00,1.00,1.00,0.07
farming-03,1.00,1.00,1.00,0.09
college-01,1.00,1.00,1.00,0.03
zoological gardens-01,1.00,1.00,1.00,0.11
registry of road vehicles-01,1.00,1.00,1.00,0.05
all,1.00,1.00,1.00,0.06
