Domain description,Recall classes,Recall attributes,Recall associations,Precision
aircraft manufacturing-01,1.00,1.00,1.00,0.26
aircraft manufacturing-02,1.00,1.00,0.97,0.35
aircraft manufacturing-03,1.00,1.00,1.00,0.29
conference papers-01,1.00,1.00,1.00,0.29
conference papers-02,1.00,1.00,0.95,0.36
conference papers-03,1.00,1.00,1.00,0.40
farming-01,1.00,1.00,1.00,0.14
farming-02,1.00,0.94,1.00,0.09
farming-03,1.00,1.00,1.00,0.15
college-01,1.00,1.00,0.94,0.05
zoological gardens-01,1.00,0.89,1.00,0.20
registry of road vehicles-01,1.00,0.99,1.00,0.08
all,1.00,0.98,0.98,0.10
