Domain description,Recall classes,Recall attributes,Recall associations,Precision
aircraft manufacturing-01,0.92,1.00,0.94,0.53
aircraft manufacturing-02,1.00,1.00,0.93,0.75
aircraft manufacturing-03,1.00,1.00,1.00,0.68
conference papers-01,0.80,0.85,0.84,0.60
conference papers-02,1.00,1.00,0.76,0.66
conference papers-03,0.89,1.00,1.00,0.77
farming-01,1.00,0.89,1.00,0.46
farming-02,0.96,0.94,0.92,0.32
farming-03,1.00,0.89,0.97,0.47
college-01,0.92,0.89,0.83,0.42
zoological gardens-01,0.94,0.62,1.00,0.60
registry of road vehicles-01,0.91,0.98,0.90,0.49
all,0.93,0.91,0.90,0.49
