Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
biological characteristics,animal,each possessing unique biological and ecological characteristics,,*,
species name,animal,species name and species common name,,*,
species common name,animal,species name and species common name,,*,
iucn status,animal,IUCN status,,*,
diet,animal,specified diet,diet,,has specified diet
name,animal,name which is not unique,,animal name,
conservation status,animal,conservation status of the animal,,*,
reproductive health,animal,reproductive health and management information,,*,
reproductive age,animal,age at which the species is capable of reproducing,,*,
breeding season,animal,specific time of year when the animals of that species naturally breed,,*,
gestation period,animal,gestation period,,*,
egg count,animal,number of eggs typically laid at one time,,*,
biological characteristics,species,each possessing unique biological and ecological characteristics,,*,
name,species,species name and species common name,,species name,
common name,species,species name and species common name,,species common name,
i ucnstatus,species,IUCN status characterize the species,,iucn status,
diet,species,diet which is crucial for managing their welfare and conservation status of the animal,,,
reproductive health,species,reproductive health and management information that is paramount in zoological settings,,-gestation period;natural breeding time;reproductive age,
reproductive age,species,age at which the species is capable of reproducing,,reproductive age,
breeding season,species,specific time of year when the animals of that species naturally breed,,natural breeding time,
gestation period,species,"gestation period, which is the length of pregnancy in viviparous species",,gestation period,
clutch size,species,"number of eggs typically laid at one time, affects incubation practices",,:number of laid eggs,
type,diet,the specified diet which is crucial for managing their welfare and conservation status of the animal,,diet type,
diet type,diet,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
required nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,the feeding schedule is essential,,feeding schedule,
feeding frequency,diet,it specifies the frequency and timing of feeding,,feeding schedule,
feeding pattern,diet,"some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals",,feeding schedule,
feeding technique,diet,the diet can also be associated with a special feeding technique,,feeding technique,
number of eggs laid,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
size,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure size,
type,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure type,
climate conditions,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
vegetation,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,vegetation,
temperature,climate conditions,"climate conditions, including temperature, humidity, lighting, and ventilation",,temperature,
humidity,climate conditions,humidity levels are vital and important aspect of climate conditions,,humidity level,
lighting,climate conditions,light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,light cycles,
light cycles,climate conditions,ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,light cycles,
ultraviolet light,climate conditions,"exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism",,ultraviolet light,
ventilation,climate conditions,proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,ventilation,
name,staff member,Each staff member has a name and expertise.,,name,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,birth date,
permanent address,staff member,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,permanent address,
expertise,staff member,Each staff member has a name and expertise.,,expertise,
assigned enclosures,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,+:assigned as caretaker;assigned to as zoologist
assigned species,staff member,Veterinarians are responsible for medical treatment of particular species.,,,:responsible for
type,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
species,conservation program,A conservation program focuses on particular species it supports.,species,,supports
geographic region,conservation program,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,geographic region,
collaborating entities,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
reintroduction status,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
