Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
biological characteristics,animal,each possessing unique biological and ecological characteristics,,*,
species name,animal,species name and species common name,,*,
species common name,animal,species name and species common name,,*,
iucn status,animal,IUCN status,,*,
diet,animal,specified diet,diet,,has specified diet
name,animal,Each animal also has a name,,animal name,
reproductive details,animal,reproductive details of animal species,,*,
reproductive age,animal,age at which the species is capable of reproducing,,*,
breeding season,animal,specific time of year when the animals of that species naturally breed,,*,
egg count,animal,number of eggs typically laid at one time,,*,
enclosure,animal,enclosure,,,
enclosure size,animal,size in square meters,,,
enclosure type,animal,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,animal,climate conditions,,,
vegetation,animal,vegetation,,,
thermal preference,animal,thermal preference,,,
humidity levels,animal,humidity levels,,,
light cycles,animal,light cycles (day and night),,,
uv light exposure,animal,exposure to ultraviolet light,,,
biological characteristics,species,each possessing unique biological and ecological characteristics,,*,
species name,species,species name,,species name,
common name,species,species common name,,species common name,
iucn status,species,IUCN status,,iucn status,
diet,species,diet,,,
reproductive details,species,reproductive details,,+gestation period;natural breeding time;reproductive age,
reproductive age,species,age at which the species is capable of reproducing,,reproductive age,
breeding season,species,specific time of year when the animals of that species naturally breed,,natural breeding time,
egg count,species,number of eggs typically laid at one time,,:number of laid eggs,
thermal preference,species,thermal preference,,*,
humidity levels,species,humidity levels,,,
light cycles,species,light cycles,,,
uv light exposure,species,exposure to ultraviolet light,,,
type,diet,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,the feeding schedule is essential,,feeding schedule,
feeding frequency,diet,the frequency and timing of feeding,,feeding schedule,
feeding pattern,diet,some species may need multiple small feedings throughout the day,,feeding schedule,
feeding technique,diet,special feeding technique,,feeding technique,
foraging behavior,diet,mimic their natural foraging behaviors,,,
eggs laid,oviparous species,the number of eggs typically laid at one time,,number of laid eggs,
incubation practices,oviparous species,incubation practices,,*,
size,enclosure,Each enclosure is characterized by its size in square meters,,enclosure size,
type,enclosure,"Each enclosure is characterized by its type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,Each enclosure is characterized by its climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,Each enclosure is characterized by its vegetation,,vegetation,
space,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space",,,
enrichment,enclosure,"The design and maintenance of enclosures are vital for health, providing enrichment",,*,
security,enclosure,"The design and maintenance of enclosures are vital for health, providing security from potential stressors",,,
temperature,enclosure,Temperature is perhaps the most critical element in an enclosure's climate conditions,,*,
light cycles,enclosure,Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,*,
ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,*,
caretakers,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,*,
number of caretakers,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species,caretaker,,assigned as caretaker
resident species,enclosure,Each enclosure is characterized by its resident species,species,,resident of
vegetation,climate conditions,"climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
species specificity,climate conditions,climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,species,,*
temperature,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,temperature,
humidity,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,humidity level,
lighting,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,light cycles,
ventilation,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,ventilation,
thermal preference,climate conditions,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,temperature,
temperature range,climate conditions,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,temperature,
humidity level,climate conditions,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
light cycles,climate conditions,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
ultraviolet light exposure,climate conditions,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,ultraviolet light,
name,staff member,Each staff member has a name,,name,
expertise,staff member,Each staff member has a ... and expertise,,expertise,
birth date,staff member,we need to keep staff member's birth date,,birth date,
permanent address,staff member,we need to keep staff member's ... and permanent address,,permanent address,
goal,conservation program,initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,*,
target species,conservation program,particular species it supports,species,,supports
partners,conservation program,collaborate with global conservation entities,,,*
activities,conservation program,"pivotal in research, breeding programs, and reintroduction efforts",,*,
participant,conservation program,a zoological garden participates in,zoological garden,,participates in
conservation strategies,conservation program,in-situ and ex-situ strategies,,*,
