Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
is central entity,animal,Animals are the central entities in a zoological garden.,zoological garden,,*
has species,animal,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has species name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
has species common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
has iucn status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
has diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has diet type,animal,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
has nutrient requirements,animal,The diet is also related to specific nutrients required to maintain health and vitality.,,,
has feeding schedule,animal,"For the diet, the feeding schedule is essential.",,,
has reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
has reproductive age,animal,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,*,
has reproductive season,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
has gestation period,animal,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,*,
is housed in,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure has size,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure has type,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure has climate conditions,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure has vegetation,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure has climate temperature,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
enclosure has climate humidity,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
enclosure has climate lighting,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
enclosure has climate ventilation,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
is cared for by,animal,Staff members of zoological gardens are integral to their operation.,,,
caretaker is assigned to,animal,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
veterinarian treats,animal,Veterinarians are responsible for medical treatment of particular species.,,,
participates in conservation program,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
conservation program collaborates,animal,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
is part of reintroduction program,animal,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
species name,species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,species name,
species common name,species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,species common name,
i ucn_status,species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,iucn status,
diet type,species,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction. We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies.",,,
nutrient requirements,species,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others.",,,
feeding schedule,species,"The feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
feeding frequency,species,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
