Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has animals,zoological garden,zoological garden,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",animal,,*
has enclosures,zoological garden,zoological garden,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,provides
has staff members,zoological garden,zoological garden,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,has member
participates in,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
has classification,animal,animal,species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has reproductive details,animal,animal,reproductive details,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
has diet,animal,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
has enclosure,animal,animal,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
is part of,animal,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
classification,species,species,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",animal,,classified by
diet,species,species,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
reproductive details,species,species,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,+gestation period;natural breeding time;reproductive age,
enclosures,species,species,zoological garden,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
climate conditions,species,species,enclosure,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
conservation programs,species,species,zoological garden,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,,,
impacts,diet,diet,animal health,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",animal,,has specified diet
classification,diet,diet,animal type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
related to,diet,diet,nutrients,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
require,diet,diet,vitamins and minerals,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,nutrients,
essential for,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential.",,feeding schedule,
associated with,diet,diet,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
has resident species,enclosure,enclosure,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,species,,resident of
has size,enclosure,enclosure,size,Each enclosure is characterized by its size in square meters,,enclosure size,
has type,enclosure,enclosure,type,"Each enclosure is characterized by its type (e.g., aviary, aquarium, terrarium)",,enclosure type,
has climate conditions,enclosure,enclosure,climate conditions,Each enclosure is characterized by its climate conditions,climate conditions,,has climate conditions
has vegetation,enclosure,enclosure,vegetation,Each enclosure is characterized by its vegetation,,vegetation,
tailored to,enclosure,enclosure,species,tailored to the needs of specific species in the enclosure,species,,resident of
provides adequate space,enclosure,enclosure,space,providing adequate space,,enclosure size,
provides enrichment,enclosure,enclosure,enrichment,"providing adequate space, enrichment",,*,
provides security,enclosure,enclosure,security,security from potential stressors,,,
assigned caretakers,enclosure,enclosure,caretaker,Caretakers and zoologists are assigned to particular enclosures,+caretaker;zoologist,,+assigned as caretaker;assigned to as zoologist
requires multiple caretakers,enclosure,enclosure,caretaker,An enclosure must have more caretakers,caretaker,,assigned as caretaker
