Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species name,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,*,
species common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
iucn status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
animal name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
feeding strategy,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies.",,,
feeding schedule,animal,"The feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
feeding technique,animal,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive age,animal,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,*,
breeding season,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
gestation period,animal,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,*,
number of eggs,animal,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,*,
enclosure size,animal,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure type,animal,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
