Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species,animal,classified by species,species,,classified by
biological characteristics,animal,possessing unique biological and ecological characteristics,,*,
ecological characteristics,animal,possessing unique biological and ecological characteristics,,*,
diet,animal,we are also interested in its specified diet,diet,,has specified diet
name,animal,Each animal also has a name,,animal name,
conservation status,animal,conservation status of the animal,,*,
diet type,animal,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,*,
reproductive details,animal,reproductive details of animal species,,*,
breeding time,animal,specific time of year when the animals of that species naturally breed,,*,
enclosure,animal,enclosures where its animals live,enclosure,,*
climate conditions,animal,climate conditions of enclosures,,,
temperature range,animal,require a range of temperatures within their enclosure,,*,
light cycles,animal,light cycles (day and night) in the climate conditions of enclosures,,,
conservation program,animal,part of reintroduction conservation programs,reintroduction conservation program,,is part of program
characteristics,species,each possessing unique biological and ecological characteristics,,*,
name,species,species name and species common name,,species name,
common name,species,species common name,,species common name,
iucn status,species,IUCN status,,iucn status,
diet,species,diet of a particular animal,,,
nutritional requirements,species,require particular vitamins or minerals in higher quantities,,*,
feeding schedule,species,require multiple small feedings throughout the day,,,
feeding technique,species,special feeding technique,,,
reproductive health,species,reproductive health and management information,,*,
reproductive age,species,age at which the species is capable of reproducing,,reproductive age,
breeding season,species,specific time of year when the animals of that species naturally breed,,natural breeding time,
gestation period,species,gestation period,,gestation period,
clutch size,species,number of eggs typically laid at one time,,:number of laid eggs,
enclosure size,species,size in square meters,,,
enclosure type,species,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,species,climate conditions,,,
temperature,species,temperature,,,
humidity,species,humidity,,,
lighting,species,lighting,,,
ventilation,species,ventilation,,,
thermal preference,species,thermal preference,,*,
temperature range,species,require a range of temperatures,,*,
uv light requirements,species,require an exposure to ultraviolet light,,*,
conservation status,species,conservation program focuses on particular species,conservation program,,supports
type,diet,its specified diet,,diet type,
diet type,diet,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,the feeding schedule,,feeding schedule,
feeding frequency,diet,specifies the frequency and timing of feeding,,feeding schedule,
feeding technique,diet,a special feeding technique,,feeding technique,
number of eggs,oviparous species,the number of eggs typically laid at one time,,number of laid eggs,
size,enclosure,Each enclosure is characterized by its size in square meters,,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,"vegetation, tailored to the needs of specific species in the enclosure",,vegetation,
space,enclosure,"providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",,enclosure size,
enrichment,enclosure,"providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",,*,
security,enclosure,"providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",,,
temperature,enclosure,temperature,,*,
humidity,enclosure,humidity,,*,
lighting,enclosure,lighting,,*,
ventilation,enclosure,ventilation,,*,
light cycles,enclosure,light cycles (day and night),,*,
caretakers,enclosure,caretakers,caretaker,,assigned as caretaker
climate conditions,climate conditions,climate conditions,,,
temperature,climate conditions,temperature,,temperature,
humidity,climate conditions,humidity,,humidity level,
lighting,climate conditions,lighting,,light cycles,
ventilation,climate conditions,ventilation,,ventilation,
light cycles,climate conditions,light cycles (day and night),,light cycles,
ultraviolet light,climate conditions,ultraviolet light,,ultraviolet light,
name,staff member,Each staff member has a name,,name,
expertise,staff member,Each staff member has a name and expertise,,expertise,
birth date,staff member,we need to keep staff member's birth date,,birth date,
permanent address,staff member,we need to keep staff member's permanent address,,permanent address,
conservation strategy,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
supported species,conservation program,A conservation program focuses on particular species it supports.,species,,supports
collaborating entities,conservation program,These conservation programs often collaborate with global conservation entities,,,*
program activities,conservation program,"and are pivotal in research, breeding programs, and reintroduction efforts.",,*,
program type,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
