Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
classified by,zoological garden,zoological garden,species,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research. Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",,,
participated in,zoological garden,zoological garden,conservation programs,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
has a,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has a,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has,animal,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
is part of,animal,animal,reintroduction conservation programs,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
classified by,species,animal,species,"Animals are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
adheres to,species,species,international taxonomic standards,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
may require,species,species,particular vitamins or minerals,Some species may require particular vitamins or minerals in higher quantities than others.,,,
naturally breed,species,animals,species,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
based on,species,species,natural habitat,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,*
has,diet,animal,diet,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species. For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
is,diet,diet,animal,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction. We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies. The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others.",animal,,has specified diet
has,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health. Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,feeding schedule,
is associated with,diet,diet,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
provides,enclosure,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,zoological garden,,provides
characterized by,enclosure,enclosure,"size, type, climate conditions, vegetation","Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,+enclosure size;enclosure type;vegetation,+has climate conditions
includes,climate conditions,climate conditions,environmental factors,"climate conditions are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,+temperature;humidity level;ligth cycles;ventilation,
has,climate conditions,climate conditions,thermal preference,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health",,temperature,
requires,climate conditions,climate conditions,range of temperatures,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas",,temperature,
affects,climate conditions,climate conditions,humidity levels,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort",,humidity level,
helps,climate conditions,climate conditions,maintain normal circadian rhythms,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors",,,
ensures,climate conditions,climate conditions,exposure to ultraviolet light,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism",,ultraviolet light,
is essential for,climate conditions,climate conditions,maintaining air quality,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,ventilation,
is assigned to,staff member,staff member,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,+:assigned to as zoologist;assigned as caretaker
studies,zoologist,zoologist,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
names,zoologist,zoologist,animal,"Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors. The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
influences,zoologist,zoologist,iucn status,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
manages,zoologist,zoologist,animal diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
