Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,zoological garden,zoological garden,animal,Animals are the central entities in a zoological garden.,animal,,*
classifies,zoological garden,zoological garden,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,*
provides,zoological garden,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,provides
tailors,zoological garden,zoological garden,climate conditions,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
employs,zoological garden,zoological garden,staff member,Staff members of zoological gardens are integral to their operation.,staff member,,has member
participates,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
is central entity of,animal,animal,zoological garden,Animals are the central entities in a zoological garden.,zoological garden,,*
is classified by,animal,animal,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has species name,animal,animal,species name,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
has diet,animal,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
has diet type,animal,animal,diet type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",diet,,has specified diet
has feeding strategy,animal,animal,feeding strategy,This classification helps in formulating appropriate feeding strategies.,,,
has feeding frequency and timing,animal,animal,feeding frequency and timing,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
has feeding technique,animal,animal,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
has reproductive details,animal,animal,reproductive details,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
has breeding time,animal,animal,time of year,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
is critical for,animal,animal,ethical display and conservation,They are critical for the ethical display and conservation of animals.,zoological garden,,*
has enclosure,animal,animal,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,*
has enclosure design and maintenance,animal,animal,enclosure design and maintenance,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",enclosure,,*
has enclosure climate conditions,animal,animal,climate conditions,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
has enclosure climate conditions,animal,animal,climate conditions,"These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions.",climate conditions,,*
has temperature range,animal,animal,temperature,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
has light cycles,animal,animal,light cycles,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
has expertise,animal,animal,expertise,Their expertise directly affects animal welfare.,,,
has caretaker,animal,animal,caretaker,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,*
is part of,animal,animal,reintroduction conservation programs,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
classified by,species,-,species,"They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
characterized by,species,-,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,+species name;species common name;iucn status,
adheres to,species,species,international taxonomic standards,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse,",,species name,
referred to by,species,species,visitors,while the common name is how visitors usually refer to the species.,,species common name,
has,diet,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
has,diet,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",animal,,has specified diet
is,diet,diet,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",animal,,has specified diet
is related to,diet,diet,feeding strategy,This classification helps in formulating appropriate feeding strategies.,,*,
is related to,diet,diet,nutrient,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
has,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential.",,feeding schedule,
is associated with,diet,diet,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
provides,enclosure,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,zoological garden,,provides
characterized by,enclosure,enclosure,"size, type, climate conditions, vegetation","Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",+climate conditions,+enclosure size;enclosure type;vegetation,+has climate conditions
design and maintenance of,enclosure,enclosure,"vital for health, providing adequate space, enrichment, security from potential stressors","The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate conditions of,enclosure,enclosure,complex and need to be tailored specifically to the needs of each species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,has climate conditions
blend of,enclosure,enclosure,"various controlled environmental factors including temperature, humidity, lighting, and ventilation","They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",climate conditions,,has climate conditions
element of,enclosure,enclosure,temperature,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,*,
require a range of temperatures within,enclosure,enclosure,"animal species, particularly reptiles","Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",species,,resident of
climate conditions of,enclosure,enclosure,consistent with the natural light patterns of an animal's native habitat,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",climate conditions,,has climate conditions
climate conditions of,enclosure,enclosure,essential for maintaining air quality and appropriate,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,climate conditions,,has climate conditions
assigned to,enclosure,caretakers and zoologists,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,+caretaker;zoologist,,+assigned as caretaker;assigned to as zoologist
have,enclosure,enclosure,caretakers,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned to as zoologist
has,climate conditions,enclosure,climate conditions,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",enclosure,,has climate conditions
is a critical element of,climate conditions,climate conditions,temperature,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,temperature,
has,climate conditions,climate conditions,humidity levels,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
is consistent with,climate conditions,climate conditions,light cycles,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
ensures,climate conditions,climate conditions,exposure to ultraviolet light,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,ultraviolet light,
is essential for,climate conditions,climate conditions,proper ventilation,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,ventilation,
includes,staff member,staff member,job title,"They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologist;veterinarian;caretaker;administrative personnel,,*
has,staff member,staff member,name,Each staff member has a name and expertise.,,name,
has,staff member,staff member,expertise,Each staff member has a name and expertise.,,expertise,
