Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
species name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
species common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
iucn status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
reproductive health and management information,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
age at which the species is capable of reproducing,animal,"The age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,*,
specific time of year when the animals of that species naturally breed,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
gestation period,animal,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,*,
number of eggs typically laid at one time,animal,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,*,
enclosures,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
size in square meters,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
type,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
climate conditions,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
vegetation,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
temperature,animal,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
humidity,animal,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
lighting,animal,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
ventilation,animal,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
staff members,animal,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
name,animal,Each staff member has a name and expertise.,,,
expertise,animal,Each staff member has a name and expertise.,,,
birth date,animal,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
permanent address,animal,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
conservation programs,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
focuses on particular species it supports,animal,A conservation program focuses on particular species it supports.,,,
specific countries or geographic regions,animal,Conservation programs with ex-situ strategies also focus on specific countries or geographic regions.,,,
collaborate with global conservation entities,animal,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
specific animals,animal,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
classification,species,"Animals are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
species name,species,Properties such as species name,,species name,
species common name,species,and species common name,,species common name,
iucn status,species,IUCN status provides insight into the conservation priority of species,,iucn status,
diet,species,The diet of a particular animal in a zoological setting is a fundamental aspect of its care,,,
feeding schedule,species,The feeding schedule is essential,,,
reproductive details,species,Reproductive details of animal species include reproductive health and management information,,-gestation period;natural breeding time;reproductive age,
age at reproduction,species,Age at which the species is capable of reproducing,,reproductive age,
breeding season,species,Specific time of year when the animals of that species naturally breed,,natural breeding time,
gestation period,species,"Gestation period, which is the length of pregnancy in viviparous species",,gestation period,
number of eggs,species,"Number of eggs typically laid at one time, affects incubation practices",,:number of laid eggs,
enclosures,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,enclosure,,resident of
enclosure characteristics,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation",,,
climate conditions,species,Climate conditions of enclosures are complex and need to be tailored specifically to the needs of each species,climate conditions,,*
temperature,species,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
humidity,species,Humidity levels are vital and important aspect of climate conditions,,,
light cycles,species,Ensuring that light cycles in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,*,
ventilation,species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,,
staff members,species,Staff members of zoological gardens are integral to their operation,,,
expertise,species,Expertise directly affects animal welfare,,,
assignment,species,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,,
veterinarian responsibility,species,Veterinarians are responsible for medical treatment of particular species,veterinarian,,responsible for
conservation programs,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,conservation program,,supports
collaboration,species,"Conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts",,,
reintroduction programs,species,Specific animals may be part of reintroduction conservation programs,,,
diet,diet,specified diet,,,
feeding strategies,diet,"[...] different types of diet, formulating appropriate feeding strategies, The diet is also related to specific nutrients required to maintain health and vitality, For example, some species may require particular vitamins or minerals in higher quantities than others, For the diet, the feeding schedule is essential, It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health, Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals, The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health]",,diet type,
nutrients,diet,"[...] For example, some species may require particular vitamins or minerals in higher quantities than others, The diet is also related to specific nutrients required to maintain health and vitality",,nutrients,
feeding schedule,diet,"[...] For the diet, the feeding schedule is essential, It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health, Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals",,feeding schedule,
feeding technique,diet,"[...] The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health",,feeding technique,
name,oviparous species,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors,,,
species name,oviparous species,"classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species",,:species name,
species common name,oviparous species,"classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species",,:species common name,
iucn status,oviparous species,"classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species",,:iucn status,
diet,oviparous species,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal",,,
feeding schedule,oviparous species,The feeding schedule is essential,,,
required vitamins or minerals,oviparous species,Some species may require particular vitamins or minerals in higher quantities than others,,,
age at which the species is capable of reproducing,oviparous species,The age at which the species is capable of reproducing,,:reproductive age,
specific time of year when the animals of that species naturally breed,oviparous species,The specific time of year when the animals of that species naturally breed,,:natural breeding time,
gestation period,oviparous species,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period",,:gestation period,
number of eggs typically laid at one time,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices",,number of laid eggs,
size in square meters,oviparous species,Each enclosure is characterized by its size in square meters,,,
type,oviparous species,Each enclosure is characterized by its type,,,
climate conditions,oviparous species,Each enclosure is characterized by its climate conditions,,,
vegetation,oviparous species,Each enclosure is characterized by its vegetation,,,
temperature,oviparous species,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
humidity levels,oviparous species,Humidity levels are vital and important aspect of climate conditions,,,
light cycles,oviparous species,Ensuring that light cycles in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms,,:*,
ultraviolet light,oviparous species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3",,:*,
ventilation,oviparous species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,,
staff member's birth date,oviparous species,"For the administrative purposes, we need to keep staff member's birth date",,,
permanent address,oviparous species,"For the administrative purposes, we need to keep staff member's permanent address",,,
expertise,oviparous species,Each staff member has a name and expertise,,,
conservation program focuses on particular species,oviparous species,A conservation program focuses on particular species it supports,conservation program,,:supports
conservation programs with ex-situ strategies also focus on specific countries or geographic regions,oviparous species,Conservation programs with ex-situ strategies also focus on specific countries or geographic regions,,,
conservation programs often collaborate with global conservation entities,oviparous species,These conservation programs often collaborate with global conservation entities,,,
specific animals may be part of reintroduction conservation programs,oviparous species,Specific animals may be part of reintroduction conservation programs,,,
size,enclosure,Each enclosure is characterized by its size in square meters,,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,and vegetation,,vegetation,
species specific,enclosure,tailored to the needs of specific species in the enclosure,species,,resident of
climate conditions,climate conditions,climate conditions,,,
environmental factors,climate conditions,"a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,,
temperature,climate conditions,temperature,,temperature,
humidity levels,climate conditions,humidity levels,,humidity level,
light cycles,climate conditions,light cycles (day and night),,light cycles,
ultraviolet light,climate conditions,ultraviolet light,,ultraviolet light,
ventilation,climate conditions,ventilation,,ventilation,
name,staff member,Each staff member has a name,,name,
expertise,staff member,Each staff member has a name and expertise,,expertise,
birth date,staff member,"for the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,"for the administrative purposes, we need to keep staff member's birth date and permanent address",,permanent address,
assigned to enclosures,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for,enclosure,,+:assigned as caretaker;:assigned to as zoologist
can be assigned to more enclosures,staff member,Caretakers can be assigned to more enclosures,enclosure,,:assigned as caretaker
responsible for daily care and behavioral training of the animals in the enclosure,staff member,and they are responsible for daily care and behavioral training of the animals in the enclosure,enclosure,,:assigned as caretaker
have more caretakers,staff member,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species,enclosure,,:assigned as caretaker
responsible for medical treatment of particular species,staff member,Veterinarians are responsible for medical treatment of particular species,species,,:responsible for
not assigned to enclosures or individual animals but species,staff member,"Therefore, they are not assigned to enclosures or individual animals but species",,,
species name,conservation program,species name,,,
species common name,conservation program,species common name,,,
i ucn_status,conservation program,IUCN status,,,
diet,conservation program,specified diet,,,
reproductive information,conservation program,reproductive details of animal species include reproductive health and management information,,,
enclosures,conservation program,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,,,
climate conditions,conservation program,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,,
staff members,conservation program,Staff members of zoological gardens are integral to their operation,,,
conservation programs,conservation program,Conservation programs a zoological garden participates in,zoological garden,,participates in
