Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,zoological garden,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,provides
has,zoological garden,zoological garden,animal,Animals are the central entities in a zoological garden.,animal,,*
has,zoological garden,zoological garden,staff member,Staff members of zoological gardens are integral to their operation.,staff member,,has member
participates in,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
has,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
lives in,animal,animal,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,*
part of,animal,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
receives care from,animal,animal,caretaker,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,*
is classified as,animal,animal,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has,species,species,characteristics,"They are classified by species, each possessing unique biological and ecological characteristics.",,-species name;species common name;iucn status,
has,species,species,properties,"Properties such as species name and species common name, and IUCN status characterize the species.",,+species name;species common name;iucn status,
requires,species,species,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction. For example, some species may require particular vitamins or minerals in higher quantities than others.",,,
has,species,species,reproductive details,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,-gestation period;natural breeding time;reproductive age,
is housed in,species,species,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,resident of
has,species,enclosure,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",enclosure,,resident of
requires,species,species,climate conditions,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,*
is treated by,species,species,veterinarian,Veterinarians are responsible for medical treatment of particular species.,veterinarian,,responsible for
is supported by,species,species,conservation program,A conservation program focuses on particular species it supports.,conservation program,,supports
has,diet,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
impacts,diet,diet,health,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
impacts,diet,diet,behavior,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
impacts,diet,diet,reproduction,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
is,diet,diet,type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
