Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species name,animal,species name and species common name,,*,
species common name,animal,species name and species common name,,*,
iucn status,animal,IUCN status,,*,
diet,animal,specified diet,diet,,has specified diet
name,animal,name which is not unique but our staff uses it to refer to them,,animal name,
conservation status,animal,conservation status of the animal,,*,
reproductive health,animal,reproductive health and management information,,*,
reproductive age,animal,age at which the species is capable of reproducing,,*,
breeding season,animal,specific time of year when the animals of that species naturally breed,,*,
gestation period,animal,gestation period,,*,
clutch size,animal,number of eggs typically laid at one time,,*,
species name,species,species name,,species name,
species common name,species,species common name,,species common name,
iucn status,species,IUCN status,,iucn status,
diet,species,diet,,,
reproductive health,species,reproductive health and management information,,-gestation period;natural breeding time;reproductive age,
reproductive age,species,age at which the species is capable of reproducing,,reproductive age,
breeding season,species,specific time of year when the animals of that species naturally breed,,natural breeding time,
gestation period,species,gestation period,,gestation period,
clutch size,species,number of eggs typically laid at one time,,:number of laid eggs,
climate conditions,species,climate conditions,,,
temperature preference,species,temperature,,,
humidity preference,species,humidity levels,,,
light cycle preference,species,light cycles,,,
ventilation preference,species,ventilation,,,
conservation priority,species,conservation priority,,*,
type,diet,specified diet,,diet type,
diet type,diet,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,feeding schedule,,feeding schedule,
feeding frequency,diet,frequency and timing of feeding,,feeding schedule,
feeding technique,diet,special feeding technique,,feeding technique,
number of eggs,oviparous species,the number of eggs typically laid at one time,,number of laid eggs,
species name,oviparous species,,,:species name,
species common name,oviparous species,,,:species common name,
iucn status,oviparous species,,,:iucn status,
number of eggs,oviparous species,the number of eggs typically laid at one time,,number of laid eggs,
size,enclosure,size in square meters,,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,"vegetation, tailored to the needs of specific species in the enclosure",,vegetation,
characteristics,enclosure,Each enclosure is characterized by,,,
temperature,climate conditions,temperature,,temperature,
humidity,climate conditions,humidity,,humidity level,
lighting,climate conditions,lighting,,light cycles,
ventilation,climate conditions,ventilation,,ventilation,
light cycles,climate conditions,light cycles (day and night),,light cycles,
ultraviolet light,climate conditions,ultraviolet light,,ultraviolet light,
name,staff member,Each staff member has a name,,name,
birth date,staff member,staff member's birth date,,birth date,
permanent address,staff member,staff member's permanent address,,permanent address,
expertise,staff member,Each staff member has a name and expertise,,expertise,
assigned enclosure,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for,enclosure,,+:assigned as caretaker;:assigned to as zoologist
assigned species,staff member,Veterinarians are responsible for medical treatment of particular species,species,,:responsible for
goal,conservation program,initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,*,
species,conservation program,A conservation program focuses on particular species it supports,species,,supports
geographic region,conservation program,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions,,+geographic region;country,
partner entities,conservation program,These conservation programs often collaborate with global conservation entities,,,*
reintroduction program,conservation program,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,*
