Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species name,animal,species name and species common name,,*,
species common name,animal,species name and species common name,,*,
iucn status,animal,IUCN status,,*,
diet,animal,specified diet,diet,,has specified diet
name,animal,Each animal also has a name,,animal name,
reproductive details,animal,reproductive details of animal species,,*,
reproductive age,animal,age at which the species is capable of reproducing,,*,
breeding season,animal,specific time of year when the animals of that species naturally breed,,*,
number of eggs,animal,number of eggs typically laid at one time,,*,
enclosure size,animal,Each enclosure is characterized by its size in square meters,,,
enclosure type,animal,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,animal,climate conditions,,,
vegetation,animal,"vegetation, tailored to the needs of specific species",,,
thermal preference,animal,specific thermal preference,,,
humidity levels,animal,humidity levels,,,
light cycles,animal,light cycles (day and night),,,
uv light exposure,animal,exposure to ultraviolet light,,,
conservation program,animal,part of reintroduction conservation programs,reintroduction conservation program,,is part of program
species name,species,species name,,species name,
species common name,species,species common name,,species common name,
iucn status,species,IUCN status,,iucn status,
diet,species,diet,,,
reproductive details,species,reproductive details,,-gestation period;natural breeding time;reproductive age,
reproductive age,species,age at which the species is capable of reproducing,,reproductive age,
breeding season,species,specific time of year when the animals of that species naturally breed,,natural breeding time,
clutch size,species,number of eggs typically laid at one time,,:number of laid eggs,
thermal preference,species,thermal preference,,*,
humidity levels,species,humidity levels,,*,
light cycles,species,light cycles,,*,
uv light exposure,species,exposure to ultraviolet light,,*,
type,diet,specified diet,,diet type,
diet type,diet,"herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
vitamins and minerals,diet,particular vitamins or minerals in higher quantities than others,,nutrients,
feeding schedule,diet,feeding schedule,,feeding schedule,
feeding frequency and timing,diet,frequency and timing of feeding,,feeding schedule,
feeding technique,diet,special feeding technique,,feeding technique,
foraging behavior,diet,mimic their natural foraging behaviors,,feeding technique,
number of eggs,oviparous species,the number of eggs typically laid at one time,,number of laid eggs,
species name,oviparous species,,,:species name,
species common name,oviparous species,,,:species common name,
iucn status,oviparous species,,,:iucn status,
diet,oviparous species,,,,
reproductive health,oviparous species,,,-:gestation period;:natural breeding time;:reproductive age,
age at which the species is capable of reproducing,oviparous species,,,:reproductive age,
specific time of year when the animals of that species naturally breed,oviparous species,,,:natural breeding time,
enclosure size,oviparous species,,,,
enclosure type,oviparous species,,,,
climate conditions,oviparous species,,,,
vegetation,oviparous species,,,,
thermal preference,oviparous species,,,:*,
humidity levels,oviparous species,,,:*,
light cycles,oviparous species,,,:*,
ultraviolet light requirement,oviparous species,,,:*,
size,enclosure,size in square meters,,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,vegetation,,vegetation,
temperature,enclosure,temperature,,*,
humidity,enclosure,humidity,,*,
lighting,enclosure,lighting,,*,
ventilation,enclosure,ventilation,,*,
caretakers,enclosure,caretakers,caretaker,,assigned as caretaker
animals,enclosure,animals,animal,,*
species,enclosure,species,species,,resident of
vegetation,climate conditions,"climate conditions, and vegetation, tailored to the needs of specific species in the enclosure",,,
temperature,climate conditions,climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,temperature,
humidity,climate conditions,climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,humidity level,
lighting,climate conditions,climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,light cycles,
ventilation,climate conditions,climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,ventilation,
thermal preference,climate conditions,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health",,temperature,
temperature range,climate conditions,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas",,temperature,
humidity level,climate conditions,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort",,humidity level,
light cycle,climate conditions,Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms,,light cycles,
ultraviolet light,climate conditions,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism",,ultraviolet light,
name,staff member,Each staff member has a name,,name,
expertise,staff member,Each staff member has a name and expertise,,expertise,
birth date,staff member,we need to keep staff member's birth date,,birth date,
permanent address,staff member,we need to keep staff member's permanent address,,permanent address,
strategies,conservation program,initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,*,
supported species,conservation program,a conservation program focuses on particular species it supports,species,,supports
partner entities,conservation program,collaborate with global conservation entities,,,*
areas of focus,conservation program,"pivotal in research, breeding programs, and reintroduction efforts",,*,
reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,*
