Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species,animal,"classified by species, each possessing unique biological and ecological characteristics",species,,classified by
species common name,animal,Properties such as species name and species common name,,*,
iucn status,animal,IUCN status provides insight into the conservation priority of species,,*,
diet,animal,specified diet which is crucial for managing their welfare,diet,,has specified diet
name,animal,Each animal also has a name,,animal name,
species taxonomic standard,animal,The species name adheres to international taxonomic standards,,*,
common name,animal,The common name is how visitors usually refer to the species,,*,
feeding schedule,animal,"For a particular animal, we are also interested in its feeding schedule",,,has specified diet
nutrient requirements,animal,Some species may require particular vitamins or minerals in higher quantities than others,,,
reproductive details,animal,Reproductive details of animal species include reproductive health and management information,,*,
reproductive age,animal,age at which the species is capable of reproducing,,*,
breeding season,animal,specific time of year when the animals of that species naturally breed,,*,
gestation period,animal,"Gestation period, which is the length of pregnancy in viviparous species",,*,
egg quantity,animal,"For oviparous species, the number of eggs typically laid at one time",,*,
enclosure,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,,,
enclosure size,animal,Each enclosure is characterized by its size in square meters,,,
enclosure type,animal,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,animal,"climate conditions, and vegetation, tailored to the needs of specific species in the enclosure",,,
temperature,animal,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
humidity,animal,Humidity levels are vital and important aspect of climate conditions,,,
light cycles,animal,Ensuring that light cycles in the climate conditions of enclosures are consistent with the natural light patterns,,,
ventilation,animal,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,,
staff,animal,Staff members of zoological gardens are integral to their operation,,,
staff name and expertise,animal,Each staff member has a name and expertise,,,
staff assignment,animal,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,,
veterinarian responsibility,animal,Veterinarians are responsible for medical treatment of particular species,,,
conservation programs,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity,,,
conservation focus,animal,A conservation program focuses on particular species it supports,,,
conservation ex-situ focus,animal,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions,,,
conservation collaboration,animal,These conservation programs often collaborate with global conservation entities,,,
reintroduction programs,animal,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,is part of program
classification,species,"They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
species name,species,Properties such as species name and species common name,,species name,
species common name,species,Properties such as species name and species common name,,species common name,
iucn status,species,IUCN status provides insight into the conservation priority of species,,iucn status,
diet,species,The diet of a particular animal in a zoological setting is a fundamental aspect of its care,,,
nutrients,species,The diet is also related to specific nutrients required to maintain health and vitality,,,
feeding schedule,species,"For the diet, the feeding schedule is essential",,,
feeding frequency,species,Some species may need multiple small feedings throughout the day,,,
feeding technique,species,The diet can also be associated with a special feeding technique,,,
reproductive details,species,Reproductive details of animal species include reproductive health and management information,,+gestation period;natural breeding time;reproductive age,
breeding season,species,This takes us also to the specific time of year when the animals of that species naturally breed,,natural breeding time,
gestation period,species,"Gestation period, which is the length of pregnancy in viviparous species",,gestation period,
number of eggs,species,"For oviparous species, the number of eggs typically laid at one time",,:number of laid eggs,
enclosure,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,enclosure,,resident of
size,species,Each enclosure is characterized by its size in square meters,,,
type,species,"Each enclosure is characterized by its type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,species,"Climate conditions include temperature, humidity, lighting, and ventilation",,,
temperature,species,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
humidity,species,Humidity levels are vital and important aspect of climate conditions,,,
light cycles,species,Ensuring that light cycles in the climate conditions of enclosures are consistent with the natural light patterns,,,
ventilation,species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,,
staff members,species,Staff members of zoological gardens are integral to their operation,,,
name,species,Each staff member has a name and expertise,,,
assignment,species,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,,
veterinarian responsibility,species,Veterinarians are responsible for medical treatment of particular species,veterinarian,,responsible for
conservation programs,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity,,,
focus species,species,A conservation program focuses on particular species it supports,conservation program,,supports
geographic focus,species,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions,,,
collaboration,species,These conservation programs often collaborate with global conservation entities,,,
reintroduction programs,species,Specific animals may be part of reintroduction conservation programs,,,
species name,diet,"They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name",,,
species common name,diet,Properties such as species name and species common name,,,
diet,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal",animal,,has specified diet
nutrients,diet,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others",,nutrients,
feeding schedule,diet,"For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health",,feeding schedule,
feeding frequency,diet,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals",,feeding schedule,
feeding technique,diet,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors",,feeding technique,
reproductive details,diet,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs",,,
age at reproduction,diet,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs",,,
breeding season,diet,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating",,,
