Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species,animal,classified by species,species,,classified by
biological and ecological characteristics,animal,each possessing unique biological and ecological characteristics,,*,
species name,animal,Properties such as species name and species common name,,*,
species common name,animal,Properties such as species name and species common name,,*,
iucn status,animal,IUCN status provides insight into the conservation priority of species,,*,
diet,animal,"For a particular animal, we are also interested in its specified diet",diet,,has specified diet
diet,animal,The diet of a particular animal in a zoological setting is a fundamental aspect of its care,diet,,has specified diet
diet type,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",diet,,has specified diet
nutrients,animal,The diet is also related to specific nutrients required to maintain health and vitality,,,
feeding frequency and timing,animal,It specifies the frequency and timing of feeding,,,
feeding frequency,animal,Some species may need multiple small feedings throughout the day,,,
feeding technique,animal,The diet can also be associated with a special feeding technique,,,
reproductive details,animal,Reproductive details of animal species include reproductive health and management information,,*,
reproductive age,animal,The age at which the species is capable of reproducing,,*,
breeding season,animal,This takes us also to the specific time of year when the animals of that species naturally breed,,*,
egg quantity,animal,"For oviparous species, the number of eggs typically laid at one time",,*,
enclosure,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,,,
enclosure size,animal,Each enclosure is characterized by its size in square meters,,,
enclosure type,animal,"Each enclosure is characterized by its type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,animal,Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,,
temperature,animal,They are a blend of various controlled environmental factors including temperature,,,
humidity,animal,Humidity levels are vital and important aspect of climate conditions,,,
light cycles,animal,Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,,
ultraviolet light,animal,"Many animal species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light",,,
staff,animal,Staff members of zoological gardens are integral to their operation,,,
caretaker or zoologist assignment,animal,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,,
veterinarian responsibility,animal,Veterinarians are responsible for medical treatment of particular species,,,
conservation programs,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity,,,
conservation collaborations,animal,These conservation programs often collaborate with global conservation entities,,,
reintroduction programs,animal,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,is part of program
classification,species,"They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
species name,species,Properties such as species name and species common name,,species name,
species common name,species,Properties such as species name and species common name,,species common name,
iucn status,species,IUCN status provides insight into the conservation priority of species,,iucn status,
diet,species,"For a particular animal, we are also interested in its specified diet",,,
taxonomic standards,species,The species name adheres to international taxonomic standards,,species name,
common name,species,The common name is how visitors usually refer to the species,,species common name,
reproductive details,species,Reproductive details of animal species include reproductive health and management information,,+gestation period;natural breeding time;reproductive age,
reproductive age,species,The age at which the species is capable of reproducing,,reproductive age,
breeding season,species,This takes us also to the specific time of year when the animals of that species naturally breed,,natural breeding time,
egg quantity,species,"For oviparous species, the number of eggs typically laid at one time",,:number of laid eggs,
enclosure type,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,,,
enclosure size,species,Each enclosure is characterized by its size in square meters,,,
climate conditions,species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,,
thermal preference,species,Each species has a specific thermal preference based on its natural habitat,,*,
humidity levels,species,Humidity levels are vital and important aspect of climate conditions,,,
light cycles,species,Ensuring that light cycles in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,,
ultraviolet light,species,"Many animal species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light",,*,
staff members,species,Staff members of zoological gardens are integral to their operation,,,
caretaker/zoologist assignment,species,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,,
veterinarian responsibility,species,Veterinarians are responsible for medical treatment of particular species,veterinarian,,responsible for
conservation programs,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity,conservation program,,supports
global conservation collaboration,species,These conservation programs often collaborate with global conservation entities,,,
reintroduction programs,species,Specific animals may be part of reintroduction conservation programs,,,
crucial diet,diet,specified diet which is crucial for managing their welfare and conservation status of the animal,animal,,has specified diet
fundamental care,diet,"fundamental aspect of its care, impacting its health, behavior, and reproduction",,,
diet type,diet,"different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,related to specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,feeding schedule is essential,,feeding schedule,
feeding frequency and timing,diet,"frequency and timing of feeding, which can affect the animal's metabolic rate and overall health",,feeding schedule,
special feeding technique,diet,special feeding technique because some animals require special methods of feeding,,feeding technique,
reproductive details,diet,reproductive details of animal species include reproductive health and management information,,,
climate conditions,diet,climate conditions are essential for mimicking the natural habitat of animals,,,
uv light exposure,diet,"exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism",,,
species focus,diet,focuses on particular species it supports,,,
classification,oviparous species,"Animals are classified by species, each possessing unique biological and ecological characteristics.",animal,,:classified by
properties,oviparous species,"Properties such as species name and species common name, and IUCN status characterize the species.",,+:species name;:species common name;:iucn status,
species name,oviparous species,species name,,:species name,
species common name,oviparous species,species common name,,:species common name,
iucn status,oviparous species,IUCN status,,:iucn status,
diet,oviparous species,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
name,oviparous species,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
naming,oviparous species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
conservation priority,oviparous species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
egg laying frequency,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
enclosures,oviparous species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,:resident of
enclosure characteristics,oviparous species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
climate conditions,oviparous species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
thermal preference,oviparous species,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,*,
humidity,oviparous species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
light cycles,oviparous species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
uv light exposure,oviparous species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
staff,oviparous species,Staff members of zoological gardens are integral to their operation.,,,
caretaker/zoologist assignment,oviparous species,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
caretaker responsibilities,oviparous species,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
veterinarian responsibilities,oviparous species,Veterinarians are responsible for medical treatment of particular species.,veterinarian,,:responsible for
conservation programs,oviparous species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,:supports
conservation program goals,oviparous species,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
reintroduction programs,oviparous species,Specific animals may be part of reintroduction conservation programs.,,,
influence on breeding,enclosure,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
natural environment mimic,enclosure,specialized habitats designed to mimic the natural environments of the resident species.,,,
ethical display and conservation,enclosure,They are critical for the ethical display and conservation of animals.,,,
housing,enclosure,where its animals live and are ethically displayed and conserved.,,,
size,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure size,
type,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure type,
climate conditions,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
vegetation,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,vegetation,
design for health,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
maintenance for adequate space,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
enrichment,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,*,
security,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate conditions complexity,enclosure,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
controlled environmental factors,enclosure,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
critical temperature,enclosure,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,*,
temperature range,enclosure,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
consistent light cycles,enclosure,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
proper ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
caretakers assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
caretakers daily care,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
multiple caretakers,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
zoologists assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,zoologist,,assigned to as zoologist
caretakers and zoologists assigned,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,+caretaker;zoologist,,+assigned as caretaker;assigned to as zoologist
caretakers daily training,enclosure,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
caretakers not assigned to enclosures,enclosure,Caretakers are not assigned to enclosures or individual animals but species.,,,
climate conditions,climate conditions,climate conditions,,,
temperature,climate conditions,temperature,,temperature,
humidity levels,climate conditions,humidity levels,,humidity level,
light cycles,climate conditions,light cycles (day and night),,light cycles,
ultraviolet light,climate conditions,exposure to ultraviolet light,,ultraviolet light,
ventilation,climate conditions,proper ventilation,,ventilation,
affiliation,staff member,Staff members of zoological gardens,zoological garden,,has member
role,staff member,"They include zoologists, veterinarians, caretakers, and administrative personnel",+zoologists;veterinarians;caretakers;administrative personnel,,*
name,staff member,Each staff member has a name,,name,
expertise,staff member,expertise,,expertise,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,permanent address,,permanent address,
affects animal welfare,staff member,Their expertise directly affects animal welfare,,,
purpose,conservation program,"Aimed at conservation, education, and research",,*,
diet,conservation program,specified diet which is crucial for managing their welfare and conservation status of the animal,,,
iucn status,conservation program,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs",,,
reproductive details,conservation program,"reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs",,,
enclosures,conservation program,various enclosures where its animals live and are ethically displayed and conserved,,,
strategies,conservation program,conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,*,
supported species,conservation program,A conservation program focuses on particular species it supports,species,,supports
collaboration,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts",,,*
reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,*
