Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
is part of,college,college,education system,"Colleges, as the highest element in the education system, are the ultimate centres of learning, independent knowledge and creative activity and play a key role in the scientific, cultural, social and economic development of society.",,,
is divided into,college,college,faculty,A public college is divided into faculties.,faculty,,divided into
is,college,college,university/non-university,A college is either a university or a non-university.,-university;non-university college,,*
is,college,college,public/private/state-owned,"The college is public, private or state-owned.",-public college;private college;state-owned college,,*
is,college,college,military/police college,A state-owned college is a military or police college.,-military college;police college,,*
has,college,college,academic staff,"Academic staff is a natural person who is a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers and scientific, research and development staff who are employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.",academic staff,,:employed at
has,college,college,student,A student is a natural person who is enrolled in a study program.,student,,*
has,college,college,academic community,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,academic community,,has academic community
has,college,college,academic senate,The academic senate of a public college is its self-governing representative academic body.,academic senate,,:structured into
has,college,college,rector,The rector is the head of the public college.,rector,,:structured into
has,college,college,scientific council,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",scientific council,,:structured into
has,college,college,board of trustees,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three.",board of trustees,,:structured into
has,college,college,bursar,The bursar manages the management and internal administration of the public higher education institution and represents it to the extent determined by a measure of the rector.,bursar,,:structured into
offers,college,college,study programme,"A study programme is characterised by the name of the study programme and also by the type, and objectives of study in the study programme.",,,
has,college,college,study programme guarantor,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,
is,legal person,college,legal person,Each college is a legal person.,legal person,,*
participates in,legal person,legal person,college,Other legal persons engaged in the educational and creative activities may also participate in such activities of a college.,legal person,,participates in activities of
implements,study programme,faculty,study programme,A faculty implements at least one accredited study programme and carries out creative activities.,faculty,,implements study programme
determines,study programme,type of higher education activity,study programme,The type of higher education activity is determined by the type of accredited study programmes implemented.,,,
carries out,study programme,university college,study programme,"A university college (or shortly a university) may carry out all types of study programmes and related scientific and research, development and innovation, artistic or other creative activities.",university,,*
carries out,study programme,non-university college,study programme,A non-university college may carry out bachelor's degree programmes and may also carry out master's degree programmes and related creative activities.,non-university college,,*
enrolled in,study programme,student,study programme,A student is a natural person who is enrolled in a study program.,student,,enrolled in
belongs to,study programme,study programme,field of education,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,education field,,belongs to field
belongs to,study programme,study programme,field of education,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",education field,,belongs to field
carries out,study programme,faculty,study programme,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",faculty,,implements study programme
meets,study programme,guarantor,study programme,The guarantor may only be an academic staff who meets the conditions laid down in the standards for accreditation of the study programme for the proper performance of activities.,,,has study programme guarantor
part of,study programme,subject,study programme,A subject can be a part of the curricula of one or more programmes of study.,subject,,*
implements,lifelong learning programme,faculty,lifelong learning programme,A faculty implements accredited study programmes and lifelong learning programmes.,lifelong learning programme,,implements lifelong learning programme
prepares for,bachelor study programme,bachelor study programme,profession,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,,,
prepares for,bachelor study programme,bachelor study programme,master's degree programme,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,master study programme,,*
includes,bachelor study programme,bachelor study programme,state final examination,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor state final examination,,*
awards,bachelor study programme,bachelor study programme,academic degree,"Graduates of bachelor's degree programmes are awarded the academic degree of 'Bachelor' (abbreviated as 'B.Sc.' before their name) and, in the field of arts, the academic degree of 'Bachelor of Arts' (abbreviated as 'B.A.' before their name).",,:awarded degree,
is aimed at,master study programme,master study programme,acquiring theoretical and practical knowledge,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity; in the field of art, it is focused on demanding artistic training and the development of talent.",,,
is a follow-up to,master study programme,master study programme,bachelor's degree programme,The Master's degree study programme is a follow-up to the Bachelor's degree programme;,bachelor study programme,,*
has,master study programme,master study programme,study programme guarantor,"For the Master's degree programme, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,:has study programme guarantor
has,master study programme,master study programme,guarantor,"Only an associate professor, a full professor or an extraordinary professor who is an academic staff member of the college concerned may be the guarantor of a master's degree programme and a doctoral degree programme.",,,:has study programme guarantor
is completed by,master study programme,master study programme,state final examination,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",master state final examination,,*
focuses on,doctoral study programme,doctoral study programme,"scientific research, independent creative activity",The doctoral study programme focuses on scientific research and independent creative activity in the field of research or development or on independent theoretical and creative activity in the field of art.,,,
is,academic staff,academic staff,natural person,"Academic staff is a natural person who is a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers and scientific, research and development staff who are employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.",natural person,,*
is employed by,academic staff,academic staff,college,Academic staff are employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.,,,:employed at
is a member of,academic staff,academic staff,academic senate,The chairperson of the academic senate of a public college shall be one of its academic staff members.,academic senate,,has staff member
is appointed from,academic staff,vice-chairperson,academic staff,The vice-chairperson of the board shall be appointed by the rector from among the academic staff of the public college who are professors or associate professors of the college.,,,has internal evaluation board vice-chairperson
appoints,academic staff,faculty,academic staff,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,
is,academic staff,supervisor,academic staff,A supervisor is an academic staff who is a scientific expert in the field.,supervisor,,*
is,employee,employee,academic staff,"Academic staff is a natural person who is a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers and scientific, research and development staff who are employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.",academic staff,,*
participates in,employee,employee,teaching,Other professionals may also participate in teaching at the college on the basis of agreements on work performed outside the employment relationship.,,,
participates in,other professional,other professional,teaching,Other professionals may also participate in teaching at the college on the basis of agreements on work performed outside the employment relationship.,college,,participates in teaching
participates in,other professional,other professional,activities,Other legal persons engaged in the educational and creative activities may also participate in such activities of a college.,,,
is structured into,body,college,body,A college is structured into its bodies.,college,,structured into
is part of,academic senate,academic senate,public college,"The self-governing academic bodies of a public college shall be a) the academic senate, ...",public college,,:structured into
is,academic senate,academic senate,self-governing representative academic body,The academic senate of a public college is its self-governing representative academic body.,,,
has members,academic senate,academic senate,academic community,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college.,academic community,,-has staff member;has student member
has chairperson,academic senate,academic senate,academic staff,The chairperson of the academic senate of a public college shall be one of its academic staff members.,academic staff,,has chairperson
has member,academic senate,academic senate,internal evaluation board,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board.,,,
consists of,academic community,college,academic community,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,college,,has academic community
is part of,academic community,academic community,academic senate,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college.,,,
has member,academic community,academic community,internal evaluation board,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board.,,,
has member,academic community,academic community,disciplinary board,"Half of the members of the disciplinary board of a public college shall be students, who are members of the academic community.",,,
enrolled in,student,student,study program,A student is a natural person who is enrolled in a study program.,study programme,,enrolled in
member of,student,student,academic community,The academic staff and students are members of the academic community.,academic community,,is student member of academic community
member of,student,student,academic senate,"At least one third of the members of the academic senate of a public college shall be student members, and the rest shall be staff members.",academic senate,,has student member
member of,student,student,internal evaluation board,One member of the internal evaluation board shall always be appointed from among the students of the public college concerned.,internal evaluation board,,*
member of,student,student,disciplinary board,Half of the members of the disciplinary board of a public college shall be students.,disciplinary board,,*
registers to,student,student,subject,A student registers to the subjects that are compulsory and elective in the curriculum of the study program he or she is enrolled in.,subject,,registers to subject
is,natural person,natural person,academic staff,"Academic staff is a natural person who is a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers and scientific, research and development staff who are employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.",academic staff,,*
is,natural person,natural person,student,A student is a natural person who is enrolled in a study program.,student,,*
has,academic senate elections,academic senate elections,academic senate,"Elections to the academic senate shall be direct, with a secret ballot.",academic senate,,elections to
is head of,rector,rector,public college,The rector is the head of the public college. It is a member of the academic community of the public college elected in rector's elections.,public college,,:is head of
acts and decides on,rector,rector,college,"The rector acts and decides on the affairs of the college, unless otherwise provided by law.",college,,:is head of
is chairperson of,rector,rector,scientific council,The rector is the chairperson of the scientific council.,scientific council,,has scientific council chairperson
is chairperson of,rector,rector,internal evaluation board,The rector is the chairperson of the internal evaluation board.,internal evaluation board,,has internal evaluation board chairperson
appoints,rector,rector,members of the disciplinary board,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,,,*
consults with,rector,minister,rector,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three. The members of the board of trustees of a public college shall be appointed by the minister in consultation with the rector...",,,*
determines,rector,rector,measure,The bursar manages the management and internal administration of the public higher education institution and represents it to the extent determined by a measure of the rector.,,,*
has members,scientific council,scientific council,member,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",,,has scientific council member
has chairperson,scientific council,scientific council,rector,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",rector,,has scientific council chairperson
consists of,scientific council,scientific council,representative,The other members of the scientific council of the public college are prominent representatives of the fields in which the college carries out educational and creative activities.,,,has scientific council member
is part of,internal evaluation board,internal evaluation board,public college,"The self-governing academic bodies of a public college shall be ... d) the internal evaluation board, if established, and ...",public college,,:structured into
has chairperson,internal evaluation board,internal evaluation board,rector,The rector is the chairperson of the internal evaluation board.,rector,,has internal evaluation board chairperson
has vice-chairperson,internal evaluation board,internal evaluation board,academic staff,The vice-chairperson of the board shall be appointed by the rector from among the academic staff of the public college who are professors or associate professors of the college.,academic staff,,has internal evaluation board vice-chairperson
has member,internal evaluation board,internal evaluation board,academic senate,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board.,,,
has member,internal evaluation board,internal evaluation board,academic board,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",,,
has member,internal evaluation board,internal evaluation board,academic senate,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",,,
has member,internal evaluation board,internal evaluation board,student,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",student,,*
is part of,disciplinary board,disciplinary board,college,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college. Half of the members of the disciplinary board of a public college shall be students. The disciplinary board of a public college shall elect its chairperson from among its members.,college,,:structured into
has members,disciplinary board,disciplinary board,academic community,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,,,has disciplinary board member
has members,disciplinary board,disciplinary board,students,Half of the members of the disciplinary board of a public college shall be students.,student,,has disciplinary board member
elects,disciplinary board,disciplinary board,chairperson,The disciplinary board of a public college shall elect its chairperson from among its members.,,,
is part of,board of trustees,board of trustees,public college,The other bodies of a public college are the board of trustees and the bursar.,public college,,:structured into
has,board of trustees,board of trustees,member,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three.",,,has board of trustees member
consists of,board of trustees,board of trustees,representative,"The members of the board of trustees of a public college shall be appointed by the minister in consultation with the rector, so that it includes adequate representation, in particular, of representatives of public life, professional chambers, employers' organisations or other persons or bodies carrying out, supporting or benefiting from the educational or creative activities of public colleges or their results, representatives of local and state government and alumni of the institution.",,,has board of trustees member
is divided into,faculty,college,faculty,A public college is divided into faculties. A faculty implements at least one accredited study programme and carries out creative activities.,college,,divided into
is divided into,faculty,college,faculty,A non-university college shall not be divided into faculties.,college,,divided into
carries out,faculty,faculty,study programme,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",study programme,,implements study programme
