Generated class,Matches class,Matches attribute,Matches relationship
college,college,,
faculty,faculty,,
academic staff,academic staff,,
student,student,,
study programme,study programme,,
subject,subject,,
field of education,education field,,
bachelor's degree programme,bachelor study programme,,
master's degree programme,master study programme,,
doctoral programme,doctoral study programme,,
academic senate,academic senate,,
rector,rector,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary committee,disciplinary board,,
board of trustees,board of trustees,,
bursar,bursar,,
study programme guarantor,*,,has study programme guarantor
supervisor,supervisor,,
subject board,subject board,,
