Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,road vehicle,road vehicle,owner,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",person,,has owner
has,road vehicle,road vehicle,operator,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",person,,has operator
has,road vehicle,road vehicle,vehicle identification number,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,vehicle identification number,
is assigned,road vehicle,road vehicle,registration plate,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration plate,,assigned to
is issued,road vehicle,road vehicle,registration certificate,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration certificate,,issued for
undergoes,road vehicle,road vehicle,technical inspection,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection.,technical inspection,,inspected by
has,road vehicle,road vehicle,systems,"The technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",vehicle system,,has vehicle system
has,road vehicle,road vehicle,structural components,"The technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",structural component,,has structural component
has,road vehicle,road vehicle,separate technical units,"The technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",separate technical unit,,has separate technical unit
is operated by,road vehicle,road vehicle,operator,The operator of the road vehicle shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection.,,,has operator
has,vehicle,vehicle,owner/operator,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",person,,+:has owner;:has operator
is a,vehicle,vehicle,machine,"A vehicle is a machine, usually with wheels, used for transporting people, animals or goods, on land.",,,*
is a,vehicle,motorised vehicle,vehicle,A motorised vehicle is a vehicle with an engine.,motorised vehicle,,*
is a,vehicle,non-motorised vehicle,vehicle,A non-motorised vehicle is a vehicle without an engine.,non-motorised vehicle,,*
is a,vehicle,road vehicle/special vehicle,vehicle,We distinguish road vehicles and special vehicles.,+road vehicle;special vehicle,,*
is towed by,vehicle,trailer,vehicle,A trailer is a non-motorised road vehicle intended to be towed by another vehicle to which it is coupled in a combination.,,,
has,vehicle,vehicle,vehicle system,A vehicle system means any structural system of a vehicle which is subject to the technical requirements laid down in an implementing regulation.,vehicle system,,:has vehicle system
has,vehicle,vehicle,structural component,A structural component of a vehicle is a component of the vehicle which must be type-approved independently of the vehicle if so provided for in the implementing legislation and which is subject to the technical requirements laid down in the implementing legislation.,structural component,,:has structural component
has,vehicle,vehicle,separate technical unit,"A separate technical unit of a vehicle is a component, the type of which may be approved independently of the vehicle but only in relation to one or more vehicle types, if so provided for in the implementing legislation, and which is subject to the technical requirements laid down in the implementing legislation.",separate technical unit,,:has separate technical unit
manufactures,vehicle,manufacturer,vehicle,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",manufacturer,,manufactures vehicle
is a,vehicle,incomplete vehicle,vehicle,An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.,incomplete vehicle,,*
part of,vehicle system,vehicle system,vehicle,Vehicle system means any structural system of a vehicle which is subject to the technical requirements laid down in an implementing regulation.,vehicle,,:has vehicle system
has,vehicle system,manufacturer,vehicle system,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",manufacturer,,manufactures vehicle system
of,vehicle system,road vehicle,vehicle system,"...the technical condition and functioning of a road vehicle, its systems, components and separate technical units...",,,
is part of,structural component,structural component,vehicle,A structural component of a vehicle is a component of the vehicle ...,vehicle,,:has structural component
is part of,structural component,structural component,road vehicle,"...its systems, structural components and separate technical units...",road vehicle,,has structural component
manufactures,manufacturer,manufacturer,vehicle,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",vehicle,,manufactures vehicle
specifies,manufacturer,manufacturer,factory mark,"- the manufacturer's factory mark as specified by the road vehicle manufacturer,",,,*
specifies,manufacturer,manufacturer,trade name,"- the trade name if specified by the road vehicle manufacturer,",,,*
specifies,manufacturer,manufacturer,type,- the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer.,,,*
specifies,manufacturer,manufacturer,engine,"the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle,",engine,,*
specifies,manufacturer,manufacturer,displacement,the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3;,,,*
specifies,manufacturer,manufacturer,fuel type,the fuel type of the road vehicle,,,*
is,person,person,manufacturer,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",manufacturer,,*
is,person,person,owner,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",,,*
is,person,person,operator,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",,,*
is,person,person,policyholder,The policyholder is the person who has concluded the insurance contract with the insurer.,policyholder,,*
operates,person,person,technical inspection station,A technical inspection station may be operated by a legal or natural person who has a licence to operate it and a certificate issued by the regional authority.,technical inspection station,,operated by
receives,person,person,report,The emission measurement station shall draw up a report on the emission measurement which shall be handed over to the natural person who brought the vehicle to the emission measurement station.,,,:emission measurement report handed over to
receives,person,person,technical inspection report,"On the basis of the defect record, the technical inspection station shall draw up a technical inspection report on the technical inspection of the road vehicle and hand it over to the natural person who delivered the vehicle for the technical inspection.",,,:technical inspection report handed over to
has,legal person,legal person,branch,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",legal person branch,,is branch of
