Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
type,road vehicle,"a machine, usually with wheels, used for transporting people, animals or goods, on land.",,type,
purpose,road vehicle,"constructed for use on roads for the carriage of persons, animals or goods.",,purpose,
motorisation,road vehicle,motorised or non-motorised vehicle,-motorised road vehicle;non-motorised road vehicle,,*
category,road vehicle,"divided into categories L, M, N, O, T, C, R, S and Z",,:vehicle category,
vehicle identification number,road vehicle,uniquely identified by its vehicle identification number,,vehicle identification number,
registration plate,road vehicle,assigned a registration plate and a registration certificate is issued for the road vehicle,registration plate,,assigned to
registration certificate,road vehicle,registration certificate is an official document providing proof of registration of a vehicle in the register,registration certificate,,issued for
registration date,road vehicle,the date of registration of the road vehicle,,*,
certificate number,road vehicle,the number of the certificate which identifies the certificate,,,
first registration date,road vehicle,the date of the first registration of the road vehicle,,*,
last registration state,road vehicle,the state of the last registration of the road vehicle,,*,
last registration certificate number,road vehicle,the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,,,
last registration plate identifier,road vehicle,the identifier on the registration plate assigned to the road vehicle on the last registration,,,
insurance information,road vehicle,information on the insurance against liability for damage caused by the operation of the vehicle,third party insurance,,covered by insurance
intended purpose,road vehicle,the purpose for which the road vehicle is intended,,purpose,
category,road vehicle,the category of road vehicle,,:vehicle category,
manufacturer's factory mark,road vehicle,the manufacturer's factory mark as specified by the road vehicle manufacturer,,factory mark,
trade name,road vehicle,the trade name if specified by the road vehicle manufacturer,,trade name,
type,road vehicle,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,type,
engine data,road vehicle,the engine data for the road vehicle,engine,,has engine
bodywork information,road vehicle,"type, serial number and colour of the bodywork of the road vehicle",bodywork,,has bodywork
capacity information,road vehicle,"number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",,*,
overall dimensions,road vehicle,the overall dimensions of the road vehicle,,dimensions,
weight information,road vehicle,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle",,-:max technically permissible weight;max persmissible weight;max permissible operating weight,
coupling device type,road vehicle,the type of coupling device built into the motorised road vehicle,,coupling device type,
technical inspection data,road vehicle,data on technical inspections of the road vehicle,technical inspection,,inspected by
owner,road vehicle,the owner of the road vehicle,,,has owner
operator,road vehicle,the operator of the road vehicle,,,has operator
type,vehicle,"a machine, usually with wheels, used for transporting people, animals or goods, on land.",,*,
engine,vehicle,with an engine,engine,,:has engine
engine,vehicle,without an engine,engine,,:has engine
category,vehicle,road vehicles and special vehicles,,vehicle category,
purpose,vehicle,"constructed for use on roads for the carriage of persons, animals or goods",,:purpose,
purpose,vehicle,manufactured for purposes other than road traffic,,:purpose,
category,vehicle,"divided into categories L, M, N, O, T, C, R, S and Z",,vehicle category,
