Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
is divided into,college,college,faculty,A public college is divided into faculties.,faculty,,divided into
is,college,college,university,A college is either a university or a non-university.,university,,*
is,college,college,non-university,A college is either a university or a non-university.,non-university college,,*
is,college,college,public college,"The college is public, private or state-owned.",public college,,*
is,college,college,private college,"The college is public, private or state-owned.",private college,,*
is,college,college,state-owned college,"The college is public, private or state-owned.",state-owned college,,*
has,college,college,academic community,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,academic community,,has academic community
is structured into,college,college,bodies,A college is structured into its bodies.,body,,structured into
is,legal person,college,legal person,Each college is a legal person.,college,,*
participates in,legal person,legal person,college,Other legal persons engaged in the educational and creative activities may also participate in such activities of a college.,college,,participates in activities of
implements,study programme,faculty,study programme,A faculty implements at least one accredited study programme and carries out creative activities.,faculty,,implements study programme
has,study programme,college,study programme,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,college,,*
has,study programme,study programme,characteristics,"A study programme is characterised by the name of the study programme and also by the type, and objectives of study in the study programme.",,-programme name;programme type;programme objectives,
includes,study programme,study programme,subject,Subject of study shall be taught within the study programme.,subject,,taught within
has,study programme,study programme,guarantor,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,has study programme guarantor
belongs to,study programme,study programme,field of education,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,education field,,belongs to field
belongs to,study programme,study programme,field of education,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",education field,,belongs to field
is implemented by,lifelong learning programme,lifelong learning programme,faculty,A faculty implements accredited study programmes and lifelong learning programmes.,lifelong learning programme,,implements lifelong learning programme
prepares for,bachelor study programme,bachelor study programme,profession,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,,*,
prepares for,bachelor study programme,bachelor study programme,master study programme,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,master study programme,,*
