Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
type,road vehicle,"a motorised or non-motorised vehicle which is constructed for use on roads for the carriage of persons, animals or goods.",,*,
category,road vehicle,"road vehicles and special vehicles are divided into categories L, M, N, O, T, C, R, S and Z.",,vehicle category,
owner,road vehicle,"a road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",,,has owner
operator,road vehicle,"a road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",,,has operator
vehicle identification number,road vehicle,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,vehicle identification number,
registration plate,road vehicle,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration plate,,assigned to
registration certificate,road vehicle,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration certificate,,issued for
registration identifier,road vehicle,"For the registration plate, the register of road vehicles contains: - the numberic or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country,",,*,
registration date,road vehicle,- the date on which the registration plate was assigned.,,*,
registration date,road vehicle,"For the registration certificate, it is stated in the register: - the date of registration of the road vehicle",,*,
first registration date,road vehicle,"- the date of the first registration of the road vehicle which can be a registration in the same or another country,",,*,
last registration state,road vehicle,"- the state of the last registration of the road vehicle,",,*,
registration certificate number,road vehicle,"- the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,",,*,
last registration identifier,road vehicle,"- the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different,",,*,
purpose,road vehicle,"- the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator,",,purpose,
category,road vehicle,"- the category of road vehicle,",,*,
manufacturer's factory mark,road vehicle,"- the manufacturer's factory mark as specified by the road vehicle manufacturer,",,factory mark,
trade name,road vehicle,"- the trade name if specified by the road vehicle manufacturer,",,trade name,
type,road vehicle,- the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer.,,type,
engine data,road vehicle,"- the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",engine,,has engine
bodywork data,road vehicle,"- type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank,",bodywork,,has bodywork
overall dimensions,road vehicle,"- the overall dimensions of the road vehicle,",,dimensions,
weight data,road vehicle,"- the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle,",,-:max permissible weight per axle;:max technically permissible weight per axle;:max permissible operating weight;:max permissible weight;:max technically permissible weight,
coupling device data,road vehicle,"- the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination,",,-coupling device type;:max permissible combination mass;:max technically permissible combination mass;:max permissible trailer mass;:max technically permissible trailer mass,
technical inspection data,road vehicle,"- data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection,",technical inspection,,inspected by
residence status,road vehicle,"A road vehicle operated on the roads must be entered in the register of road vehicles if the person operating it has permanent residence, long-term residence or, if a citizen of another member state, temporary residence of at least 6 months per calendar year in the territory of the country, or has been granted asylum.",,*,
registration authority,road vehicle,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle.,municipal authority,,registers
roadworthiness,road vehicle,"The municipal authority checks that: - the road vehicle's roadworthiness has been approved,",,*,
value added tax,road vehicle,"- value added tax has been paid on the acquisition of the road vehicle from another member state, if a special legal provision so provides,",valued added tax payment,,value added tax paid
theft status,road vehicle,"- the road vehicle is not listed as missing or stolen in the Schengen Information System or in the information system of the state police or this information is not established by another procedure,",missing or stolen road vehicle listing,,is listed as missing or stolen in
completeness,road vehicle,- it is not an incomplete road vehicle,,*,
registration application,road vehicle,"An application for the registration of a road vehicle in the register of road vehicles shall include - the type and category of the road vehicle, the road vehicle's manufacturer's factory mark, its trade name, the type of road vehicle, and the purpose for which the road vehicle is intended,",,,*
owner details,road vehicle,- details of the owner of the road vehicle,,,has owner
operator details,road vehicle,- details of the operator of the road vehicle if the owner is not also the operator of the road vehicle.,,,has operator
registration certificate issuance,road vehicle,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall issue a registration certificate of the road vehicle to the applicant.",registration certificate,,issued for
registration plate assignment,road vehicle,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",registration plate,,assigned to
registration identifier,road vehicle,The registration plate contains a registration identifier.,,*,
insurance,road vehicle,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle.,third party insurance,,covered by insurance
insurance contract,road vehicle,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",insurance contract,,*
insurance details,road vehicle,"It shall also contain the duration of the insurance, the limit of the insurance benefit, the amount of the premium, its maturity, the method of payment and the form and place of notification of the claim.",,*,
technical inspection schedule,road vehicle,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection.,,,*
technical inspection,road vehicle,"A road vehicle technical inspection is an inspection of its roadworthiness which includes the technical condition and functioning of a road vehicle, its systems, components and separate technical units and their environmental impact or a registration test of a road vehicle.",technical inspection,,inspected by
technical inspection station,road vehicle,A technical inspection station is a workplace specialised in carrying out technical inspections of road vehicles.,technical inspection station,,*
emission measurement,road vehicle,The inspection technician of the technical inspection station shall include the results of the emission measurement in the register of road vehicles.,emission measurement,,*
technical condition,road vehicle,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",,,*
technical inspection report,road vehicle,"On the basis of the defect record, the technical inspection station shall draw up a technical inspection report on the technical inspection of the road vehicle and hand it over to the natural person who delivered the vehicle for the technical inspection.",,,*
technical inspection validity,road vehicle,"The technical inspection for a road vehicle shall cease to be valid if, after the technical inspection has been carried out, - changes have been made to the vehicle which are not in accordance with the information entered in the register of road vehicles, in the registration certificate of the road vehicle or in a similar document issued by a member state other than the member state on the date of the check; or - a reduction in the distance travelled on the odometer of the road vehicle compared to the distance travelled on the odometer recorded during the technical inspection.",,*,
technical fitness,road vehicle,A road vehicle is technically fit for use on the road if no defects or only minor defects have been found during the road vehicle technical inspection.,,*,
