Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
species,animal,classified by species,species,,classified by
biological characteristics,animal,possessing unique biological and ecological characteristics,,*,
ecological characteristics,animal,possessing unique biological and ecological characteristics,,*,
diet,animal,we are also interested in its specified diet,diet,,has specified diet
name,animal,Each animal also has a name,,animal name,
conservation status,animal,conservation status of the animal,,*,
diet type,animal,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,*,
reproductive details,animal,reproductive details of animal species,,*,
breeding time,animal,specific time of year when the animals of that species naturally breeds,,*,
gestation period,animal,"Gestation period, which is the length of pregnancy in viviparous animals",,*,
enclosure,animal,enclosures where its animals live,enclosure,,*
climate conditions,animal,climate conditions of enclosures in zoological gardens,,,
light cycles,animal,light cycles (day and night) are consistent with the natural light patterns of an animal's native habitat,,,
conservation program,animal,Specific animals may be part of reintroduction conservation programs,conservation program,,is part of program
biological characteristics,species,each possessing unique biological and ecological characteristics,,*,
ecological characteristics,species,each possessing unique biological and ecological characteristics,,*,
name,species,species name and species common name,,species name,
common name,species,species name and species common name,,species common name,
iucn status,species,IUCN status characterize the species,,IUCN status,
diet,species,The diet of a particular animal in a zoological setting,,,
vitamin requirements,species,some species may require particular vitamins or minerals in higher quantities than others,,*,
mineral requirements,species,some species may require particular vitamins or minerals in higher quantities than others,,*,
feeding frequency,species,some species may need multiple small feedings throughout the day,,*,
feeding technique,species,The diet can also be associated with a special feeding technique,,*,
reproductive health,species,Reproductive details of animal species include reproductive health and management information,,*,
reproductive age,species,the age at which the species is capable of reproducing,,reproductive age,
breeding season,species,the specific time of year when the animals of that species naturally breeds,,natural breeding time,
clutch size,species,the number of eggs typically laid at one time,,*,
enclosure size,species,Each enclosure is characterized by its size in square meters,,*,
enclosure type,species,"type (e.g., aviary, aquarium, terrarium)",,*,
climate conditions,species,climate conditions,,*,
vegetation,species,"vegetation, tailored to the needs of specific species",,*,
thermal preference,species,Each species has a specific thermal preference,,*,
humidity levels,species,humidity levels,,*,
uv light requirements,species,"Many species, particularly reptiles, require exposure to ultraviolet light",,*,
conservation status,species,A conservation program focuses on particular species it supports,conservation program,*,supports
type,diet,its specified diet,,diet type,
diet type,diet,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,the feeding schedule is essential,,feeding schedule,
feeding frequency,diet,specifies the frequency and timing of feeding,,*,
feeding technique,diet,a special feeding technique,,feeding technique,
number of eggs,oviparous species,the number of eggs typically laid at one time,,number of laid eggs,
size,enclosure,Each enclosure is characterized by its size in square meters,,enclosure size,
type,enclosure,"Each enclosure is characterized by its type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,Each enclosure is characterized by its climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,Each enclosure is characterized by its vegetation,,vegetation,
space,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space",,*,
enrichment,enclosure,"The design and maintenance of enclosures are vital for health, providing ... enrichment",,*,
security,enclosure,"The design and maintenance of enclosures are vital for health, providing ... security from potential stressors",,*,
temperature,enclosure,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species, including temperature",,*,
humidity,enclosure,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species, including humidity",,*,
lighting,enclosure,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species, including lighting",,*,
ventilation,enclosure,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species, including ventilation",,*,
caretakers,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
species,climate conditions,"climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",species,,*
temperature,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,temperature,
humidity,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,humidity level,
lighting,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,*,
ventilation,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,ventilation,
air quality,climate conditions,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
name,staff member,Each staff member has a name,,name,
expertise,staff member,and expertise,,expertise,
conservation type,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
supported species,conservation program,A conservation program focuses on particular species it supports.,species,,supports
collaborating entities,conservation program,These programs often collaborate with global conservation entities,,,*
program goals,conservation program,"and are pivotal in research, breeding programs, and reintroduction efforts.",,*,
program type,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
