Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
name,study programme,The study programme is characterized by the name of the study programme,,programme name,
type,study programme,The study programme is characterized by the type,,programme type,
objectives of study,study programme,The study programme is characterized by the objectives of study,,programme objectives,
description of the profile of the graduate,study programme,The study programme is characterized by a description of the profile of the graduate of the study programme,,-:master profile description;bachelor profile description,
standard period of study,study programme,The study programme must have a standard period of study,,standard period of study,
degree awarded to graduates,study programme,The degree awarded to graduates shall also be specified for the study programme,,awarded degree,
subjects,study programme,Subjects shall be taught within the study programme,subject,,taught within
sequence of subjects in time,study programme,Their sequence in time within the study programme is determined by the curriculum of the study programme,,,
form of study,study programme,The curriculum determines the form of study,form of study,,*
curriculum,study programme,The curriculum of the study programme,curriculum,,has curriculum
study programme guarantor,study programme,The faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college,,,has study programme guarantor
field of education,study programme,"A field of education is a defined section of higher education within which study programmes of close or related content are prepared, approved and implemented, reflecting a common theoretical and methodological basis of the given field of education",education field,,belongs to field
bachelor's degree study programme,study programme,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme,bachelor study programme,,*
master's degree study programme,study programme,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity",master study programme,,*
doctoral study programme,study programme,The doctoral study programme focuses on scientific research and independent creative activity in the field of research or development or on independent theoretical and creative activity in the field of art,doctoral study programme,,*
bachelor study programme,bachelor study programme,"A bachelor study programme is characterized by the name of the study programme and also by the type, and objectives of study in the study programme. In the case of a Bachelor's degree programme, it is also characterized by a description of the profile of the graduate of the study programme. The study programme must have a standard period of study with an average study load expressed in academic years. The degree awarded to graduates shall also be specified for the study programme. Subjects of study shall be taught within the study programme. Their sequence in time within the study programme is determined by the curriculum of the study programme. The curriculum also determines the form of study. The forms of study may be: a. full-time study; b. combined study; or c. distance learning study.",,,
bachelor's degree study programme,bachelor study programme,"The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme. The standard period of study, including work experience, is a minimum of three and a maximum of four years. The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis. Graduates of bachelor's degree programmes are awarded the academic degree of 'Bachelor' (abbreviated as 'B.Sc.' before their name) and, in the field of arts, the academic degree of 'Bachelor of Arts' (abbreviated as 'B.A.' before their name).",,,
full-time form of study,bachelor study programme,"For the full-time form of study, the curriculum is created within the framework of a programme of study in such a way that the largest part of instruction takes the form of lectures, tutorials, seminars, courses, practical training, laboratory classes, consultation, and other similar forms of instruction, which are held according to a regular schedule, which will be usually a weekly schedule; they enable students to acquire knowledge directly.",full-time form of study,,*
combined form of study,bachelor study programme,"For the combined form of study, the curriculum is created within the programme of study based on the assumption that study takes a form which employs the principles of both full-time and distance learning study.",combined form of study,,*
distance learning form of study,bachelor study programme,"For the distance learning form of study, the curriculum is created within the framework of the programme of study based on the assumption that study is offered in the distance form of instruction, and that teachers usually perform the role of consultant.",distance learning form of study,,*
field of education,bachelor study programme,"A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education. A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",education field,,:belongs to field
master study programme,master study programme,"A master study programme is carried out by a faculty and has a study programme guarantor. The guarantor is an academic staff member who coordinates the content of the degree programme, supervises its quality, evaluates it, and develops it. A master study programme belongs to only one field of education. The field of education is a defined section of higher education within which study programmes of close or related content are prepared, approved, and implemented, reflecting a common theoretical and methodological basis of the given field of education. There are several areas of education such as Architecture and Urban Planning, Security, Biology, Ecology and Environment, Transport, Economics, Electrical Engineering, Energy, Pharmacy, Philosophy, Religious Studies and Theology, Physics, Historical Sciences, Chemistry, Computer Science, Cybernetics, Forestry and Wood Science, Mathematics, Media and Communication Studies, Non-teaching Pedagogy, Political Science, Food Science, Law, Psychology, Social Work, Sociology, Civil Engineering, Engineering, Technology and Materials, Physical Education and Sport; Kinanthropology, Mining and Mineral Processing, Teaching, Arts, Arts and Cultural Sciences, Earth Sciences, Veterinary Medicine, Veterinary Hygiene, General Medicine and Dentistry.",,,
study programme guarantor,master study programme,The guarantor is an academic staff who meets the conditions laid down in the standards for accreditation of the study programme for the proper performance of activities.,,,:has study programme guarantor
field of education,master study programme,A master study programme belongs to only one field of education.,education field,,:belongs to field
areas of education,master study programme,"There are several areas of education such as Architecture and Urban Planning, Security, Biology, Ecology and Environment, Transport, Economics, Electrical Engineering, Energy, Pharmacy, Philosophy, Religious Studies and Theology, Physics, Historical Sciences, Chemistry, Computer Science, Cybernetics, Forestry and Wood Science, Mathematics, Media and Communication Studies, Non-teaching Pedagogy, Political Science, Food Science, Law, Psychology, Social Work, Sociology, Civil Engineering, Engineering, Technology and Materials, Physical Education and Sport; Kinanthropology, Mining and Mineral Processing, Teaching, Arts, Arts and Cultural Sciences, Earth Sciences, Veterinary Medicine, Veterinary Hygiene, General Medicine and Dentistry.",,:*,
duration of master study programme,master study programme,The Master's degree programme is a follow-up to the Bachelor's degree programme and has a standard duration of at least one and not more than three years.,,:standard period of study,
academic degrees for master study programme graduates,master study programme,"The following academic degrees are awarded to graduates of master's degree programmes: (a) in the fields of economics, technical sciences and technology, agriculture, forestry and military science, 'engineer' (abbreviated 'Ing.' before the name), (b) in the field of architecture, 'engineer architect' (abbreviated 'Ing. arch.' before the name), (c) in general medicine, 'Doctor of Medicine' (abbreviated 'M.D.' before the name), (d) in the field of dentistry, 'Doctor of Dental Medicine' (abbreviated MDDr. before the name), (e) in the field of veterinary medicine and veterinary hygiene, 'Doctor of Veterinary Medicine' (abbreviated 'MVDr.' before the name), (f) in the arts, 'Master of Arts' (abbreviated 'MgA.' before the name), (g) in other fields, 'Master' (abbreviated 'Mgr.' before the name).",,:awarded degree,
center of learning,subject,Colleges are the ultimate centers of learning,,,
independent knowledge,subject,Colleges are the ultimate centers of ... independent knowledge,,,
creative activity,subject,"Colleges are the ultimate centers of learning, independent knowledge and creative activity",,,
legal person,subject,Each college is a legal person,,,
divided into faculties,subject,A public college is divided into faculties,,,
implements study programme,subject,A faculty implements at least one accredited study programme,,,
carries out creative activities,subject,A faculty carries out creative activities,,,
determines higher education activity,subject,The type of higher education activity is determined by the type of accredited study programmes implemented,,,
types of study programmes,subject,"The types of study programmes are bachelor, master and doctoral",,,
type of college,subject,A college is either a university or a non-university,,,
can carry out study programmes,subject,A university college may carry out all types of study programmes,,,
can carry out bachelor's degree programmes,subject,A non-university college may carry out bachelor's degree programmes,,,
not divided into faculties,subject,A non-university college shall not be divided into faculties,,,
type of college ownership,subject,"The college is public, private or state-owned",,,
type of academic staff,subject,"Academic staff is a natural person who is a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers and scientific, research and development staff",,,
obligation of academic staff,subject,Academic staff are obliged to uphold the reputation of the college,,,
type of student,subject,A student is a natural person who is enrolled in a study program,,,
academic community,subject,A college has its own academic community made up of its academic staff and students enrolled in its study programmes,,,
self-governing representative academic body,subject,The academic senate of a public college is its self-governing representative academic body,,,
members of academic senate,subject,"The academic senate shall have at least eleven members, of whom at least one third and no more than one half shall be student members",,,
members of academic senate elected from,subject,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college,,,
elections to academic senate,subject,"Elections to the academic senate shall be direct, with a secret ballot",,,
incompatible with,subject,"Membership of the academic senate of a public college is incompatible with the office of rector, vice-rector, bursar, dean, vice-dean, faculty secretary and director of the college",,,
term of office,subject,The term of office of individual members of the academic senate of a public college shall be for a maximum of three years,,,
chairperson,subject,"The academic senate shall have a chairperson, who shall be one of its academic staff members",,,
head of public college,subject,The rector is the head of the public college,,,
acts and decides on affairs,subject,"The rector acts and decides on the affairs of the college, unless otherwise provided by law",,,
member of academic community,subject,The rector is a member of the academic community of the public college elected in rector's elections,,,
term of office,subject,The term of office of the rector shall be four years,,,
consecutive terms,subject,The office of rector may be held by the same person at the same public college for a maximum of two consecutive terms,,,
members of scientific council,subject,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council",,,
members of scientific council,subject,At least one third of the members of the scientific council of the public college shall be persons other than members of the academic community of the college,,,
chairperson of internal evaluation board,subject,The rector is the chairperson of the internal evaluation board,,,
member of internal evaluation board,subject,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board,,,
members of internal evaluation board,subject,"The internal evaluation board shall have at least five members, of whom at least one third shall be students",,,
members of disciplinary board,subject,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college,,,
members of disciplinary board,subject,Half of the members of the disciplinary board of a public college shall be students,,,
chairperson of disciplinary board,subject,The disciplinary board of a public college shall elect its chairperson from among its members,,,
members of board of trustees,subject,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three",,,
members of board of trustees,subject,The members of the board of trustees of a public college shall be appointed by the minister in consultation with the rector,,,
members of board,subject,Members of the board may not be employees of the college,,,
manages management and internal administration,subject,The bursar manages the management and internal administration of the public higher education institution,,,
represents,subject,The bursar represents it to the extent determined by a measure of the rector,,,
characterised by,subject,"A study programme is characterised by the name of the study programme and also by the type, and objectives of study in the study programme",,,
characterised by,subject,"In the case of a Bachelor's or Master's degree programme, it is also characterised by a description of the profile of the graduate of the study programme",,,
must have,subject,The study programme must have a standard period of study with an average study load expressed in academic years,,,
shall be specified,subject,The degree awarded to graduates shall also be specified for the study programme,,,
shall be taught,subject,Subject of study shall be taught within the study programme,,,
determined by curriculum,subject,Their sequence in time within the study programme is determined by the curriculum of the study programme,,,
determines form of study,subject,The curriculum also determines the form of study,,,
created within framework,subject,"For the full-time form of study, the curriculum is created within the framework of a programme of study in such a way that the largest part of instruction takes the form of lectures, tutorials, seminars, courses, practical training, laboratory classes, consultation, and other similar forms of instruction",,,
created within programme of study,subject,"For the combined form of study, the curriculum is created within the programme of study based on the assumption that study takes a form which employs the principles of both full-time and distance learning study",,,
created within framework of programme of study,subject,"For the distance learning form of study, the curriculum is created within the framework of the programme of study based on the assumption that study is offered in the distance form of instruction",,,
appoints and dismisses,subject,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff",,,
may only be,subject,The guarantor may only be an academic staff who meets the conditions laid down in the standards for accreditation of the study programme for the proper performance of activities,,,
shall,subject,"The degree programme guarantor shall, in particular, coordinate the content of the degree programme, supervise the quality of its implementation, evaluate the degree programme and develop it",,,
belongs to,subject,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education,,,
is,subject,"A field of education is a defined section of higher education within which study programmes of close or related content are prepared, approved and implemented, reflecting a common theoretical and methodological basis of the given field of education",,,
aimed at,subject,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme,,,
is,subject,"The standard period of study, including work experience, is a minimum of three and a maximum of four years",,,
is duly completed by,subject,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis",,,
are awarded,subject,"Graduates of bachelor's degree programmes are awarded the academic degree of 'Bachelor' (abbreviated as 'B.Sc.' before their name) and, in the field of arts, the academic degree of 'Bachelor of Arts' (abbreviated as 'B.A.' before their name)",,,
is aimed at,subject,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity",,,
is,subject,The Master's degree programme is a follow-up to the Bachelor's degree programme; the standard duration of this programme is at least one and not more than three years,,,
are duly completed by,subject,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis",,,
are awarded,subject,The following academic degrees are awarded to graduates of master's degree programmes,,,
awarded,subject,"In the fields of economics, technical sciences and technology, agriculture, forestry and military science, 'engineer' (abbreviated 'Ing.' before the name)",,,
awarded,subject,"In the field of architecture, 'engineer architect' (abbreviated 'Ing. arch.' before the name)",,,
awarded,subject,"In general medicine, 'Doctor of Medicine' (abbreviated 'M.D.' before the name)",,,
awarded,subject,"In the field of dentistry, 'Doctor of Dental Medicine' (abbreviated MDDr. before the name)",,,
awarded,subject,"In the field of veterinary medicine and veterinary hygiene, 'Doctor of Veterinary Medicine' (abbreviated 'MVDr.' before the name)",,,
awarded,subject,"In the arts, 'Master of Arts' (abbreviated 'MgA.' before the name)",,,
awarded,subject,"In other fields, 'Master' (abbreviated 'Mgr.' before the name)",,,
focuses on,subject,The doctoral study programme focuses on scientific research and independent creative activity in the field of research or development,,,
shall be,subject,The standard period of study shall be at least three and not more than four years,,,
are duly completed by,subject,The studies of a student in the doctoral study programme are duly completed by a state final examination,,,
submits,subject,The student submits the dissertation for the defence,,,
is,subject,The defence of the dissertation is public,,,
shall prove,subject,The student shall prove his/her knowledge and skills in the field of the dissertation,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in research and development activities,,,
shall prove,subject,The student shall prove his/her ability to publish the results of the research and development activities in the form of a scientific publication,,,
shall prove,subject,The student shall prove his/her ability to present the results of the research and development activities at a scientific conference,,,
shall prove,subject,The student shall prove his/her ability to defend the dissertation in a disputation,,,
shall prove,subject,The student shall prove his/her ability to use foreign language in the field of study,,,
shall prove,subject,The student shall prove his/her ability to use information and communication technologies in research and development activities,,,
shall prove,subject,The student shall prove his/her ability to work in a team,,,
shall prove,subject,The student shall prove his/her ability to manage a research team,,,
shall prove,subject,The student shall prove his/her ability to manage a research project,,,
shall prove,subject,The student shall prove his/her ability to manage a research institution,,,
shall prove,subject,The student shall prove his/her ability to manage a research programme,,,
shall prove,subject,The student shall prove his/her ability to manage a research project,,,
shall prove,subject,The student shall prove his/her ability to manage a research team,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in practice,,,
shall prove,subject,"The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the development of new products, technologies and services",,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the implementation of research and development projects,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research and development projects,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research and development institutions,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research and development programmes,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research teams,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research projects,,,
shall prove,subject,"The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the development of new products, technologies and services",,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the implementation of research and development projects,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research and development projects,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research and development institutions,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research and development programmes,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research teams,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the management of research projects,,,
shall prove,subject,The student shall prove his/her ability to apply the knowledge and skills acquired during the study in practice,,,
shall prove,subject,"The student shall prove his/her ability to apply the knowledge and skills acquired during the study in the development of new products, technologies and services",,,
subject completion assessment,subject completion assessment,A subject completion assessment is carried out for a 'subject',,,
grade,subject completion assessment,and it results in a 'grade' or 'classification',,results grade,
form of study,subject completion assessment,The 'subject' is taught in a specific 'form of study',,,
