Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,road vehicle,road vehicle,owner and operator (person),"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",person,,+has owner;has operator
is identified by,road vehicle,road vehicle,vehicle identification number,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,:vehicle identification number,
is assigned,road vehicle,road vehicle,registration plate and registration certificate,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration plate,,assigned to
is assigned,road vehicle,road vehicle,registration plate,A registration plate is a metal or plastic plate assigned to a road vehicle for official identification purposes.,registration plate,,assigned to
is operated on the roads and must be entered in the register of road vehicles if,road vehicle,road vehicle,registration in the register of road vehicles,"A road vehicle is operated on the roads must be entered in the register of road vehicles if the person operating it has permanent residence, long-term residence or, if a citizen of another member state, temporary residence of at least 6 months per calendar year in the territory of the country, or has been granted asylum.",,,
has been covered by,road vehicle,road vehicle,third party insurance,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle.,third party insurance,,covered by insurance
is technically fit for use on the road if,road vehicle,road vehicle,no defects or only minor defects have been found during the road vehicle technical inspection,"A road vehicle is technically fit for use on the road if no defects or only minor defects have been found during the road vehicle technical inspection. If the technical inspection has revealed minor defects, the operator of the road vehicle shall remedy them. The technical inspection station shall affix an inspection sticker on the rear plate of the registration plate of the road vehicle indicating the month and year of the next periodic technical inspection of the road vehicle.",technically fit road vehicle,,*
is technically fit for use only for,road vehicle,road vehicle,30 days from the date of the technical inspection,"If a technical inspection detects a serious defect, the vehicle is technically fit for use only for 30 days from the date of the technical inspection. Within this period, the operator of the road vehicle shall be obliged to bring the road vehicle with the rectified serious defect to the technical inspection station for a repeat technical inspection. If the operator of the road vehicle does not proceed in this way, or if the repeated technical inspection reveals that the defect to be rectified has been recurrently rectified, the vehicle is technically unfit for use and may not be used in traffic. The operator shall be obliged to ensure that the vehicle is towed away from the technical inspection station at his own expense.",limited technically fit vehicle,,*
is technically unfit for use and must not be used in traffic if,road vehicle,road vehicle,technical inspection reveals a dangerous defect,"If the technical inspection of a road vehicle reveals a dangerous defect, the vehicle is technically unfit for use and must not be used in traffic. The operator is obliged to ensure that the vehicle is towed at his own expense from the technical inspection station, that the dangerous defect is removed, and that the road vehicle is brought in for a repeat technical inspection. Upon detection of a dangerous defect, the technical inspection station shall remove the technical inspection sticker from the rear plate of the registration plate.",technically unfit road vehicle,,*
used for transporting,vehicle,vehicle,transportation,"A vehicle is a machine, usually with wheels, used for transporting people, animals or goods, on land.",,,
is,vehicle,road vehicle,vehicle,"For the purposes of regulating the conditions of operation of vehicles on roads, a road vehicle is a motorised or non-motorised vehicle which is constructed for use on roads for the carriage of persons, animals or goods.",road vehicle,,*
is part of,vehicle system,vehicle system,vehicle,A vehicle system means any structural system of a vehicle which is subject to the technical requirements laid down in an implementing regulation. An example of a vehicle system is brakes or emission reduction devices.,vehicle system,,has vehicle system
is a component of,structural component,structural component,vehicle,A structural component of a vehicle is a component of the vehicle which must be type-approved independently of the vehicle if so provided for in the implementing legislation and which is subject to the technical requirements laid down in the implementing legislation.,structural component,,has structural component
is a type of,structural component,structural component,component,A structural component of a vehicle is a component of the vehicle which must be type-approved independently of the vehicle if so provided for in the implementing legislation and which is subject to the technical requirements laid down in the implementing legislation.,,,*
