Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
owner,road vehicle,A road vehicle has an owner,,,has owner
name,road vehicle,"his name, or, where applicable, first and last names",,,
business name,road vehicle,"the business name or first and last names, if any",,,
business name or name,road vehicle,the business name or name,,,
vehicle identification number,road vehicle,A road vehicle is uniquely identified by its vehicle identification number,,vehicle identification number,
registration plate,road vehicle,"After the registration into the register, a road vehicle is assigned a registration plate",registration plate,,assigned to
registration certificate,road vehicle,a registration certificate is issued for the road vehicle,registration certificate,,issued for
date of registration,road vehicle,the date of registration of the road vehicle,,,
number of the certificate,road vehicle,the number of the certificate which identifies the certificate,,,
date of the first registration,road vehicle,the date of the first registration of the road vehicle,,,
state of the last registration,road vehicle,the state of the last registration of the road vehicle,,,
number of the registration certificate,road vehicle,the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,,,
identifier on the registration plate,road vehicle,the identifier on the registration plate assigned to the road vehicle on the last registration,,*,
third party insurance,road vehicle,Information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office,third party insurance,,covered by insurance
purpose for which the road vehicle is intended,road vehicle,"the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator",,purpose,
category of road vehicle,road vehicle,the category of road vehicle,,:vehicle category,
manufacturer's factory mark,road vehicle,the manufacturer's factory mark as specified by the road vehicle manufacturer,,factory mark,
trade name,road vehicle,the trade name if specified by the road vehicle manufacturer,,trade name,
type,road vehicle,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,type,
engine data,road vehicle,"the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",engine,,has engine
type of bodywork,road vehicle,"type, serial number and colour of the bodywork of the road vehicle",,,
overall dimensions,road vehicle,the overall dimensions of the road vehicle,,,
maximum technically permissible weight,road vehicle,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,,
type of coupling device,road vehicle,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,coupling device type,
type of technical inspection,road vehicle,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",,,
owner of the road vehicle,road vehicle,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle,,,has owner
type and category of the road vehicle,road vehicle,An application for the registration of a road vehicle in the register of road vehicles shall include the type and category of the road vehicle,,+type;:vehicle category,
details of the owner of the road vehicle,road vehicle,An application for the registration of a road vehicle in the register of road vehicles shall include details of the owner of the road vehicle,,,has owner
details of the operator of the road vehicle,road vehicle,An application for the registration of a road vehicle in the register of road vehicles shall include details of the operator of the road vehicle if the owner is not also the operator of the road vehicle,,,has operator
registration certificate of the road vehicle,road vehicle,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant",registration certificate,,issued for
registration plate,road vehicle,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall further assign a registration plate to the road vehicle",registration plate,,assigned to
registration identifier,road vehicle,The registration plate contains a registration identifier. The registration identifier shall consist of a combination of capital letters of the Latin alphabet and Arabic numerals,,*,
sticker,road vehicle,"When issuing a registration plate, the municipal authority of the municipality with extended jurisdiction shall affix a sticker to the plate issued, indicating the date of the periodic technical inspection",inspection sticker,,affixed on
green card,road vehicle,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle,green card,,is proof for vehicle
operator of a road vehicle,road vehicle,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection,,,has operator
roadworthiness,road vehicle,A road vehicle technical inspection is an inspection of its roadworthiness,,*,
technical inspection station,road vehicle,A technical inspection station is a workplace specialised in carrying out technical inspections of road vehicles,technical inspection station,,*
emissions measurement station,road vehicle,Emissions measurement as part of the technical inspection can be carried out at the emission measurement station before other inspection tasks are carried out at the technical inspection station,,,*
technical condition and operation,road vehicle,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects",,*,
changes have been made to the vehicle,road vehicle,"The technical inspection for a road vehicle shall cease to be valid if, after the technical inspection has been carried out, changes have been made to the vehicle which are not in accordance with the information entered in the register of road vehicles, in the registration certificate of the road vehicle or in a similar document issued by a member state other than the member state on the date of the check; or a reduction in the distance travelled on the odometer of the road vehicle compared to the distance travelled on the odometer recorded during the technical inspection",,*,
3 levels of defects,road vehicle,"The technical inspection of a road vehicle can detect 3 levels of defects, which are a minor defect which does not significantly affect the operational characteristics of the vehicle, road safety or the environment, a serious defect which affects the operational characteristics of the vehicle, is liable to endanger road traffic, may adversely affect the environment or consists of a serious deficiency in the identification of the vehicle, or a dangerous defect which poses an immediate threat to the safety of the road vehicle, to road traffic or to the environment",defect,,has road vehicle defect
technically fit for use on the road,road vehicle,"A road vehicle is technically fit for use on the road if no defects or only minor defects have been found during the road vehicle technical inspection. If the technical inspection has revealed minor defects, the operator of the road vehicle shall remedy them. The technical inspection station shall affix an inspection sticker on the rear plate of the registration plate of the road vehicle indicating the month and year of the next periodic technical inspection of the road vehicle",technically fit road vehicle,,*
