Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name which is not unique but our staff uses to refer to them and we also present animal names to our visitors.,,animal name,
has diet,animal,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
requires,animal,animal,special feeding technique,"Some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,*,
breeds,animal,animal,time of year,"This takes us also to the specific time of year when the animals of that species naturally breeds, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
classified by,species,animal,species,"Animals are classified by species, each possessing unique biological and ecological characteristics. The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",animal,,classified by
tailored to,species,enclosure,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",enclosure,,resident of
tailored to,species,climate conditions,species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,*
responsible for,species,veterinarian,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",veterinarian,,responsible for
supports,species,conservation program,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,conservation program,,supports
has,diet,animal,diet,They are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.,animal,,has specified diet
is,diet,animal,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",animal,,has specified diet
is related to,diet,diet,nutrient,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
has,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential.",,feeding schedule,
is associated with,diet,diet,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
provides,enclosure,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved..,zoological garden,,provides
characterized by,enclosure,enclosure,"size, type, climate conditions, vegetation","Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,-enclosure size;enclosure type;vegetation,-has climate conditions
climate conditions of,enclosure,enclosure,zoological garden,climate conditions of enclosures in zoological gardens,zoological garden,,provides
within,enclosure,enclosure,climate conditions,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,climate conditions,,has climate conditions
