Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
carries,aircraft,aircraft,unique serial number,"An aircraft, the culmination of this manufacturing process, is not merely a product but an amalgamation of design, individuality, and functionality. Each aircraft carries a unique serial number, a testament to its distinct identity",,aircraft serial number,
manufacturing date of,aircraft,aircraft,information,"The manufacturing date of an aircraft is also a crucial piece of information, often highlighted in business communications for its relevance in maintenance and value assessment",,manufacturing date,
purchasing,aircraft,customer,aircraft,"These interactions are defined by specific links such as a customer purchasing aircraft, a supplier supplying supplies, or an aircraft consisting of parts",customer,,purchases
provides,part,supplier,part,A supplier is recognized as an entity providing parts through supplies essential for constructing an aircraft. This role transcends mere provision; it embodies a symbiotic relationship where the supplier delivers a supply consisting of various parts.,supplier,,*
based on,part,part,part model,"In the words of a manufacturing engineer, every part used in aircraft construction is not just a component; it's a manifestation of a precise design model, known as a part model, based on which it is designed.",part model,,designed as part model
carries,part,part,serial number,"Each part carries a unique serial number, further emphasizing its individuality within the larger structure of an aircraft, and its brief description.",,part serial number,
composed of,part,aircraft,part,"Aircraft, as the central product, are composed of individually identified parts, each following a specific part model.",aircraft,,consists of
supply,part,supplier,part,"The suppliers supply these parts in supplies, integral to the construction of aircraft, which themselves are embodiments of distinct aircraft models.",supplier,,*
delivers,supply,supplier,supply,The supplier delivers a supply consisting of various parts.,supplier,,supplies
dedicated to,supply,supply,aircraft,"Each supply is dedicated to the production of specific aircraft, ensuring a tailored approach to manufacturing.",aircraft,,supplied for
supplies,supply,supplier,supply,"The suppliers supply these parts in supplies, integral to the construction of aircraft.",supplier,,supplies
based on,aircraft model,aircraft model,part model,"Every part used in aircraft construction is not just a component; it's a manifestation of a precise design model, known as a part model, based on which it is designed. This model is defined not just by its design but also by its unique model number and a brief description that captures its essence.",part model,,incorporates
distinguished by,aircraft model,aircraft model,model code,An aircraft model is distinguished not only by its unique model code but also by a detailed description that encapsulates its design philosophy and specifications.,,aircraft model code,
incorporates,aircraft model,aircraft model,part models,"An aircraft model is distinguished not only by its unique model code but also by a detailed description that encapsulates its design philosophy and specifications. It incorporates various part models, integrating them into a cohesive design that eventually takes shape as a finished aircraft.",part model,,incorporates
based on,part model,part,part model,"every part used in aircraft construction is not just a component; it's a manifestation of a precise design model, known as a part model, based on which it is designed. This model is defined not just by its design but also by its unique model number and a brief description that captures its essence.",part,,designed as part model
follows,part model,part,part model,"Aircraft, as the central product, are composed of individually identified parts, each following a specific part model.",part,,designed as part model
