Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
divided into,college,college,faculty,"Colleges, as the highest element in the education system, are divided into faculties.",faculty,,divided into
is,college,college,university or non-university,A college is either a university or a non-university.,+university;non-university college,,*
has,college,college,academic community,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,academic community,,has academic community
is structured into,college,college,bodies,A college is structured into its bodies.,body,,structured into
is,legal person,college,legal person,Each college is a legal person.,college,,*
participates in,legal person,legal person,activity of a college,Other legal persons engaged in the educational and creative activities may also participate in such activities of a college.,,,*
implements,study programme,faculty,study programme,A faculty implements at least one accredited study programme and carries out creative activities. A faculty implements accredited study programmes and lifelong learning programmes.,faculty,,implements study programme
characterized by,study programme,study programme,"name of the study programme, type of study programme, objectives of study in the study programme","A study programme is characterised by the name of the study programme and also by the type, and objectives of study in the study programme.",,-programme objectives;programme type;programme name,
characterized by,study programme,study programme,description of the profile of the graduate of the study programme,"In the case of a Bachelor's or Master's degree programme, it is also characterised by a description of the profile of the graduate of the study programme.",,-:bachelor profile description;:master profile description,
has,study programme,study programme,standard period of study,The study programme must have a standard period of study with an average study load expressed in academic years.,,standard period of study,
awarded,study programme,study programme,degree,The degree awarded to graduates shall also be specified for the study programme.,,awarded degree,
taught,study programme,study programme,subject of study,Subject of study shall be taught within the study programme.,subject,,taught within
determines,study programme,study programme,form of study,The curriculum also determines the form of study.,,,
created,study programme,study programme,curriculum,"For the full-time form of study, the curriculum is created within the framework of a programme of study in such a way that the largest part of instruction takes the form of lectures, tutorials, seminars, courses, practical training, laboratory classes, consultation, and other similar forms of instruction, which are held according to a regular schedule, which will be usually a weekly schedule; they enable students to acquire knowledge directly.",curriculum,,has curriculum
created,study programme,study programme,curriculum,"For the combined form of study, the curriculum is created within the programme of study based on the assumption that study takes a form which employs the principles of both full-time and distance learning study.",curriculum,,has curriculum
created,study programme,study programme,curriculum,"For the distance learning form of study, the curriculum is created within the framework of the programme of study based on the assumption that study is offered in the distance form of instruction, and that teachers usually perform the role of consultant.",curriculum,,has curriculum
belongs,study programme,study programme,field of education,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,education field,,belongs to field
belongs,study programme,study programme,field of education,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",education field,,belongs to field
are,study programme,field of education,study programme,"There are the following areas of education: Architecture and Urban Planning, Security, Biology, Ecology and Environment, Transport, Economics, Electrical Engineering, Energy, Pharmacy, Philosophy, Religious Studies and Theology, Physics, Historical Sciences, Chemistry, Computer Science, Cybernetics, Forestry and Wood Science, Mathematics, Media and Communication Studies, Non-teaching Pedagogy, Political Science, Food Science, Law, Psychology, Social Work, Sociology, Civil Engineering, Engineering, Technology and Materials, Physical Education and Sport; Kinanthropology, Mining and Mineral Processing, Teaching, Arts, Arts and Cultural Sciences, Earth Sciences, Veterinary Medicine, Veterinary Hygiene, General Medicine and Dentistry.",education field,,belongs to field
implements,lifelong learning programme,faculty,lifelong learning programme,faculty implements accredited study programmes and lifelong learning programmes,faculty,,implements lifelong learning programme
aimed at,bachelor study programme,bachelor study programme,student,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,student,,*
standard period of study,bachelor study programme,bachelor study programme,academic year,"The standard period of study, including work experience, is a minimum of three and a maximum of four years.",,:standard period of study,
completed by,bachelor study programme,bachelor study programme,state final examination,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",,,*
follow-up,bachelor study programme,master study programme,bachelor study programme,The Master's degree study programme is a follow-up to the Bachelor's degree programme;,master study programme,,*
follow-up,master study programme,master study programme,bachelor study programme,The Master's degree study programme is a follow-up to the Bachelor's degree programme;,bachelor study programme,,*
standard period of study,master study programme,master study programme,academic year,"The standard period of study, including work experience, is a minimum of three and a maximum of four years for bachelor and minimum of one and maximum of three years for master.",,:standard period of study,
completed by,master study programme,master study programme,state final examination,"The studies of a student in the Master's degree study programme are duly completed by a state final examination,",,,*
includes,master study programme,master study programme,diploma thesis,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",,,*
focuses on,doctoral study programme,doctoral study programme,scientific research,The doctoral study programme focuses on scientific research and independent creative activity in the field of research or development or on independent theoretical and creative activity in the field of art.,,,
is,academic staff,academic staff,natural person,Academic staff is a natural person,natural person,,*
obliged to uphold,academic staff,academic staff,reputation,Academic staff are obliged to uphold the reputation of the college,,,
are members of,academic staff,academic staff,academic community,The academic staff and students are members of the academic community,academic community,,is staff member of academic community
may only be,academic staff,guarantor,academic staff,The guarantor may only be an academic staff who meets the conditions laid down in the standards for accreditation of the study programme for the proper performance of activities,,,*
is,academic staff,supervisor,academic staff,A supervisor is an academic staff who is a scientific expert in the field,supervisor,,*
is,employee,employee,natural person,Academic staff is a natural person who ... is employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.,natural person,,*
participates in,other professional,other professional,teaching,Other professionals may also participate in teaching at the college on the basis of agreements on work performed outside the employment relationship.,,,participates in teaching
part of,body,college,body,A college is structured into its bodies.,college,,structured into
self-governing academic,body,public college,body,The self-governing academic bodies of a public college shall be...,self-governing academic body,,*
other,body,public college,body,The other bodies of a public college are the board of trustees and the bursar.,-board of trustees;bursar,,*
shall be,academic senate,academic senate,null,"The self-governing academic bodies of a public college shall be a) the academic senate, The academic senate of a public college is its self-governing representative academic body.",,,
have,academic senate,academic senate,member,"It shall have at least eleven members, of whom at least one third and no more than one half shall be student members, and the rest shall be staff members.",-student;academic staff,,-has student member;has staff member
academic staff,academic community,academic community,staff,,academic staff,,is staff member of academic community
students,academic community,academic community,student,,student,,is student member of academic community
academic staff,academic community,academic community,staff,,academic staff,,is staff member of academic community
enrolled in,student,student,study program,A student is a natural person who is enrolled in a study program.,study programme,,enrolled in
is,natural person,academic staff,natural person,Academic staff is a natural person,academic staff,,*
is,natural person,student,natural person,A student is a natural person,student,,*
have,academic senate elections,academic senate elections,property,"are direct, with a secret ballot.",,*,
is,academic community member,academic staff and students,academic community member,The academic staff and students are members of the academic community.,+student;academic staff,,*
elected from among,academic community member,members of the academic senate,academic community member,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college.,,,-elected as student senate member in;elected as staff senate member in
is,academic community member,it (rectors),academic community member,It is a member of the academic community of the public college elected in rector's elections.,rector,,*
is head of,rector,rector,public college,The rector is the head of the public college.,public college,,:is head of
is a member of,rector,rector,academic community of the public college,It is a member of the academic community of the public college elected in rector's elections.,academic community,,:is member of academic community
acts and decides on,rector,rector,affairs of the college,"The rector acts and decides on the affairs of the college, unless otherwise provided by law.",,*,
shall exercise,rector,rector,competence of the statutory body,"In cases where a special regulation provides for the competence of the statutory body, the rector shall exercise it.",,*,
is the chairperson of,rector,rector,scientific council of a public college,The rector is the chairperson of the scientific council of a public college.,scientific council,,has scientific council chairperson
is the chairperson of,rector,rector,internal evaluation board,The rector is the chairperson of the internal evaluation board.,internal evaluation board,,has internal evaluation board chairperson
has members,scientific council,scientific council,member,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",,,has scientific council member
is chairperson of,internal evaluation board,rector,internal evaluation board,The rector is the chairperson of the internal evaluation board.,rector,,has internal evaluation board chairperson
is a member of,internal evaluation board,chairperson of the academic senate of a public college,internal evaluation board,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board.,,,*
appointed by,disciplinary board,rector,disciplinary board,The members of the disciplinary board of a public college are appointed by the rector...,rector,,*
shall be,disciplinary board,disciplinary board,students,Half of the members of the disciplinary board of a public college shall be students.,student,,has disciplinary board member
elect,disciplinary board,disciplinary board,chairperson,The disciplinary board of a public college shall elect its chairperson from among its members.,,,has disciplinary board chairperson
from among,disciplinary board,disciplinary board,members,The disciplinary board of a public college shall elect its chairperson from among its members.,,,has disciplinary board member
term of office of,disciplinary board,members,disciplinary board,The term of office of the members of the disciplinary board of a public college shall not exceed two years.,,*,
has,board of trustees,public college,board of trustees,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three. The members of the board of trustees of a public college shall be appointed by the minister in consultation with the rector, so that it includes adequate representation, in particular, of representatives of public life, professional chambers, employers' organizations or other persons or bodies carrying out, supporting or benefiting from the educational or creative activities of public colleges or their results, representatives of local and state government and alumni of the institution.",public college,,:structured into
implements,faculty,faculty,study programme,A faculty implements at least one accredited study programme and carries out creative activities.,study programme,,implements study programme
appoints,faculty,faculty,study programme guarantor,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,*
offers,faculty,faculty,subject,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective:,subject,,*
may be shortened by,faculty,internal regulation,faculty,The time limit may be shortened by an internal regulation of the faculty.,,,*
stores,faculty,faculty,written forms of assessment of study of the subject,The faculty stores the written forms of assessment of study of the subject at least until the end of the following academic year.,,,*
taught within,subject,subject,study programme,Subject of study shall be taught within the study programme.,study programme,,taught within
sequence in time within,subject,subject,study programme,Their sequence in time within the study programme is determined by the curriculum of the study programme.,study programme,,determines temporal sequence
taught in,subject,subject,form,"The subject is taught in particular in the form of lecture, tutorial, seminar, proseminar, course, practical training, internship, special course, laboratory class, field trip, fieldwork, individual work, or consultation.",,form of teaching,
implemented in,subject,subject,form,"Depending on its character, the subject may be implemented in a full-time, distance learning, or combined form.",,form of implementation,
may take,subject,subject,semester,A subject may take one or two semesters in the same academic year.,,number of semesters,
has,subject,subject,identification code,Each subject has an identification code which is unique within the college.,,*,
determined by,subject,subject,identification code,"A subject is determined by the identification code, the number of semesters of instruction under sentence one, the number of assigned credits, the form of teaching, and the form of assessment of study.",,*,
can be a part of,subject,subject,curriculum,A subject can be a part of the curricula of one or more programmes of study.,,,is part of curriculum
stipulate,subject,curriculum,subject,"Curricula, with the exception of doctoral study, stipulate which subjects are compulsory or elective for students;",,,+stipulates compulsory subject;stipulates elective subjects
regarded as,subject,subject,optional subject,other subjects taught at the college are regarded as optional subjects for the relevant curriculum.,,,*
offers,subject,faculty,subject,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective:,faculty,,*
registers to,subject,student,subject,A student registers to the subjects that are compulsory and elective in the curriculum of the study program he or she is enrolled in.,student,,registers to subject
can register,subject,student,subject,The student can also register any other subject.,student,,registers to subject
determines,curriculum,curriculum,study programme,Their sequence in time within the study programme is determined by the curriculum of the study programme.,study programme,,has curriculum
stipulates,curriculum,curriculum,subject,"Curricula, with the exception of doctoral study, stipulate which subjects are compulsory or elective for students;",subject,,+stipulates compulsory subject;stipulates elective subjects
provided in,curriculum,curriculum,examination,the basic requirements for the examination are in accordance with the curriculum provided in the description of the subject,examination,,*
determines,form of study,curriculum,form of study,The curriculum also determines the form of study.,curriculum,,determines form of study
is created,form of study,curriculum,form of study,"For the full-time form of study, the curriculum is created within the framework of a programme of study in such a way that...",curriculum,,determines form of study
is created,form of study,curriculum,form of study,"For the combined form of study, the curriculum is created within the programme of study based on the assumption that study takes a form which employs the principles of both full-time and distance learning study.",curriculum,,determines form of study
is created,form of study,curriculum,form of study,"For the distance learning form of study, the curriculum is created within the framework of the programme of study based on the assumption that study is offered in the distance form of instruction, and that teachers usually perform the role of consultant.",curriculum,,determines form of study
belongs to,education field,study programme,education field,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,study programme,,belongs to field
belongs to,education field,study programme,education field,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",study programme,,belongs to field
has,education field,education field,common theoretical and methodological basis,reflecting a common theoretical and methodological basis of the given field of education.,,*,
includes,education field,education field,study programme,"Architecture and Urban Planning, Security, Biology, Ecology and Environment, Transport, Economics, Electrical Engineering, Energy, Pharmacy, Philosophy, Religious Studies and Theology, Physics, Historical Sciences, Chemistry, Computer Science, Cybernetics, Forestry and Wood Science, Mathematics, Media and Communication Studies, Non-teaching Pedagogy, Political Science, Food Science, Law, Psychology, Social Work, Sociology, Civil Engineering, Engineering, Technology and Materials, Physical Education and Sport; Kinanthropology, Mining and Mineral Processing, Teaching, Arts, Arts and Cultural Sciences, Earth Sciences, Veterinary Medicine, Veterinary Hygiene, General Medicine and Dentistry.",study programme,,belongs to field
completes,bachelor state final examination,studies of a student in the bachelor's degree study programme,bachelor state final examination,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination,",bachelor studies,,completed by bachelor state final examination
includes,bachelor state final examination,bachelor state final examination,bachelor's thesis,includes the defense of the bachelor's thesis.,bachelor thesis defense,,includes bachelor thesis defense
aimed at preparing,bachelor studies,bachelor studies,student,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,student,,bachelor studies of a student
includes,bachelor thesis defense,state final examination,bachelor thesis defense,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor state final examination,,includes bachelor thesis defense
