Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
implemented study programmes,study programme,A faculty implements at least one accredited study programme,faculty,,implements study programme
creative activities,study programme,A faculty carries out creative activities,,,
type of higher education activity,study programme,The type of higher education activity is determined by the type of accredited study programmes implemented,,*,
types of study programmes,study programme,"The types of study programmes are bachelor, master and doctoral",-bachelor study programme;master study programme;doctoral study programme,,*
name of the study programme,study programme,A study programme is characterised by the name of the study programme,,programme name,
type of study,study programme,and also by the type,,programme type,
objectives of study,study programme,and objectives of study in the study programme,,programme objectives,
description of the profile of the graduate,study programme,"In the case of a Bachelor's or Master's degree programme, it is also characterised by a description of the profile of the graduate of the study programme",,-master profile description;bachelor profile description,
standard period of study,study programme,The study programme must have a standard period of study,,standard period of study,
study load,study programme,with an average study load expressed in academic years,,*,
degree awarded,study programme,The degree awarded to graduates shall also be specified for the study programme,,awarded degree,
subjects of study,study programme,Subject of study shall be taught within the study programme,subject,,taught within
curriculum,study programme,The curriculum also determines the form of study,curriculum,,has curriculum
form of study,study programme,"For a full-time form of study, the curriculum is created within the framework of a programme of study in such a way that",form of study,,*
largest part of instruction,study programme,"the largest part of instruction takes the form of lectures, tutorials, seminars, courses, practical training, laboratory classes, consultation, and other similar forms of instruction",,,
regular schedule,study programme,"which are held according to a regular schedule, which will be usually a weekly schedule; they enable students to acquire knowledge directly",,,*
combined form of study,study programme,"For the combined form of study, the curriculum is created within the programme of study based on the assumption that study takes a form which employs the principles of both full-time and distance learning study",combined form of study,,*
distance form of study,study programme,"For the distance learning form of study, the curriculum is created within the framework of the programme of study based on the assumption that study is offered in the distance form of instruction, and that teachers usually perform the role of consultant",distance learning form of study,,*
study programme guarantor,study programme,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college",academic staff,,has study programme guarantor
field of education,study programme,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education,education field,,belongs to field
core subject areas,study programme,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education",,*,
areas of education,study programme,"There are the following areas of education: Architecture and Urban Planning, Security, Biology, Ecology and Environment, Transport, Economics, Electrical Engineering, Energy, Pharmacy, Philosophy, Religious Studies and Theology, Physics, Historical Sciences, Chemistry, Computer Science, Cybernetics, Forestry and Wood Science, Mathematics, Media and Communication Studies, Non-teaching Pedagogy, Political Science, Food Science, Law, Psychology, Social Work, Sociology, Civil Engineering, Engineering, Technology and Materials, Physical Education and Sport; Kinanthropology, Mining and Mineral Processing, Teaching, Arts, Arts and Cultural Sciences, Earth Sciences, Veterinary Medicine, Veterinary Hygiene, General Medicine and Dentistry",,*,
aimed at preparing students,study programme,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme,,,
standard period of study bachelor's degree,study programme,"The standard period of study, including work experience, is a minimum of three and a maximum of four years",,standard period of study,
state final examination,study programme,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis",,,*
aimed at acquiring theoretical and practical knowledge,study programme,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity; in the field of art, it is focused on demanding artistic training and the development of talent",,,
standard duration of this programme,study programme,The Master's degree programme is a follow-up to the Bachelor's degree programme; the standard duration of this programme is at least one and not more than three years,,standard period of study,
state final examination master's degree,study programme,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis",,,*
awarded to graduates,study programme,The following academic degrees are awarded to graduates of master's degree programmes:,,awarded degree,
doctoral study programme,study programme,The doctoral study programme focuses on scientific research and independent creative activity in the field of research or development or on independent theoretical and creative activity in the field of art,doctoral study programme,,*
standard period of study doctoral study programme,study programme,The standard period of study shall be at least three and not more than four years,,standard period of study,
studies of a student in the doctoral programme,study programme,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor,doctoral studies,,:studies in doctoral study programme
