Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
has owner,road vehicle,road vehicle,person,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",person,,has owner
uniquely identified by,road vehicle,road vehicle,vehicle identification number,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,vehicle identification number,
operated on,road vehicle,road vehicle,roads,"A road vehicle operated on the roads must be entered in the register of road vehicles if the person operating it has permanent residence, long-term residence or, if a citizen of another member state, temporary residence of at least 6 months per calendar year in the territory of the country, or has been granted asylum.",,,
registers,road vehicle,municipal authority of a municipality with extended competence,road vehicle,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle.,municipal authority,,registers
checks that,road vehicle,municipal authority,road vehicle,"The municipal authority checks that: - the road vehicle's roadworthiness has been approved, - value added tax has been paid on the acquisition of the road vehicle from another member state, if a special legal provision so provides, - the road vehicle is not listed as missing or stolen in the Schengen Information System or in the information system of the state police or this information is not established by another procedure, - it is not an incomplete road vehicle",municipal authority,,registers
includes,road vehicle,application for the registration of a road vehicle in the register of road vehicles,road vehicle,"An application for the registration of a road vehicle in the register of road vehicles shall include - the type and category of the road vehicle, the road vehicle's manufacturer's factory mark, its trade name, the type of road vehicle, and the purpose for which the road vehicle is intended, - details of the owner of the road vehicle - details of the operator of the road vehicle if the owner is not also the operator of the road vehicle.",,,
registers,road vehicle,municipal authority of the municipality with extended competence,road vehicle,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant.",municipal authority,,registers
covers,road vehicle,green card,road vehicle,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle.,road vehicle,,is proof for vehicle
used for transporting,vehicle,vehicle,people or animals or goods,"A vehicle is a machine, usually with wheels, used for transporting people, animals or goods, on land.",,*,
provides proof of registration of,vehicle,registration certificate,vehicle,A registration certificate is an official document providing proof of registration of a vehicle in the register.,registration certificate,,issued for
must undergo at least one further stage of completion in order to meet the relevant technical requirements,vehicle,incomplete vehicle,vehicle,An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.,incomplete vehicle,,*
is,vehicle,incomplete vehicle,vehicle,An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.,incomplete vehicle,,*
is,vehicle,incomplete vehicle,vehicle,An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.,incomplete vehicle,,*
is structural system of,vehicle system,vehicle system,vehicle,A vehicle system is a structural system of a vehicle which is subject to the technical requirements,structural component,,has structural component
is example of,vehicle system,vehicle system,vehicle system,An example of a vehicle system is brakes or emission reduction devices,,,*
manufactures,vehicle system,manufacturer,vehicle system,"A manufacturer is a person who manufactures a vehicle, its system",manufacturer,,manufactures vehicle
technical inspection of,vehicle system,technical inspection station,vehicle system,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",technical inspection station,,*
is a component of,structural component,structural component,vehicle,A structural component of a vehicle is a component of the vehicle,vehicle,,has structural component
is subject to,structural component,structural component,technical requirements,and which is subject to the technical requirements,,,*
is an example of,structural component,lamp,structural component,An example of a structural component of a vehicle is a lamp,,,*
determine technical condition and operation of,structural component,technical inspection station,structural component,"determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects",technical inspection station,,*
manufactures,manufacturer,manufacturer,vehicle,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",vehicle,,manufactures vehicle
has factory mark,manufacturer,manufacturer,registration certificate,"for the registration certificate, it is stated in the register: - the manufacturer's factory mark as specified by the road vehicle manufacturer,",,*,
has trade name,manufacturer,manufacturer,registration certificate,"for the registration certificate, it is stated in the register: - the trade name if specified by the road vehicle manufacturer,",,*,
has type,manufacturer,manufacturer,registration certificate,"for the registration certificate, it is stated in the register: - the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer.",,*,
included in registration application,manufacturer,manufacturer,road vehicle,"an application for the registration of a road vehicle in the register of road vehicles shall include - the type and category of the road vehicle, the road vehicle's manufacturer's factory mark, its trade name, the type of road vehicle, and the purpose for which the road vehicle is intended",road vehicle,,manufactures vehicle
has,legal person,road vehicle,legal person,"- If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,
operates,legal person,technical inspection station,legal person,A technical inspection station may be operated by a legal or natural person who has a licence to operate it and a certificate issued by the regional authority.,technical inspection station,,operated by
