Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
vehicle identification number,road vehicle,A road vehicle is uniquely identified by its vehicle identification number,,vehicle identification number,
registration plate,road vehicle,"after the registration into the register, a road vehicle is assigned a registration plate",registration plate,,assigned to
registration certificate,road vehicle,a registration certificate is issued for the road vehicle,registration certificate,,issued for
owner,road vehicle,The following information on the owner of a road vehicle shall be entered in the register of road vehicles,*,,has owner
operator,road vehicle,The following information on the operator of a road vehicle shall be entered in the register of road vehicles,*,,has operator
vehicle identification number,road vehicle,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles,,vehicle identification number,
roadworthiness,road vehicle,The municipal authority checks that the road vehicle's roadworthiness has been approved,,*,
technical inspection,road vehicle,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection,technical inspection,,inspected by
insurer,road vehicle,The insurance contract shall always contain the designation of the insurer,insurer,,*
policyholder,road vehicle,The insurance contract shall always contain the designation of the policyholder,policyholder,,*
insured road vehicle,road vehicle,The insurance contract shall always contain the designation of the insured road vehicle,insurance contract,,*
changes,road vehicle,The technical inspection for a road vehicle shall cease to be valid if changes have been made to the vehicle which are not in accordance with the information entered in the register of road vehicles,,*,
technical condition,road vehicle,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle",,*,
minor defect,road vehicle,a minor defect which does not significantly affect the operational characteristics of the vehicle,minor defect,,has road vehicle defect
serious defect,road vehicle,a serious defect which affects the operational characteristics of the vehicle,serious defect,,has road vehicle defect
dangerous defect,road vehicle,a dangerous defect which poses an immediate threat to the safety of the road vehicle,dangerous defect,,has road vehicle defect
type,vehicle,"A vehicle is a machine, usually with wheels, used for transporting people, animals or goods, on land.",,:type,
personal number,vehicle,"An employee has a personal number, that uniquely identifies the employee",,,
engine,vehicle,A motorised vehicle is a vehicle with an engine.,engine,,:has engine
engine,vehicle,A non-motorised vehicle is a vehicle without an engine.,engine,,:has engine
type,vehicle,"A road vehicle is a motorised or non-motorised vehicle which is constructed for use on roads for the carriage of persons, animals or goods.",,*,
type,vehicle,"A special vehicle is a vehicle manufactured for purposes other than road traffic, which may be operated on roads if conditions are met.",,*,
vehicle system,vehicle,Vehicle system means any structural system of a vehicle which is subject to the technical requirements laid down in an implementing regulation.,vehicle system,,:has vehicle system
structural component,vehicle,A structural component of a vehicle is a component of the vehicle which must be type-approved independently of the vehicle if so provided for in the implementing legislation and which is subject to the technical requirements laid down in the implementing legislation.,structural component,,:has structural component
separate technical unit,vehicle,"A separate technical unit of a vehicle is a component, the type of which may be approved independently of the vehicle but only in relation to one or more vehicle types, if so provided for in the implementing legislation, and which is subject to the technical requirements laid down in the implementing legislation.",separate technical unit,,:has separate technical unit
manufacturer,vehicle,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",manufacturer,,manufactures vehicle
incomplete,vehicle,An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.,incomplete vehicle,,*
owner,vehicle,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations.",,,:has owner
operator,vehicle,"The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.",,,:has operator
vehicle identification number,vehicle,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,:vehicle identification number,
registration plate,vehicle,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration plate,,:assigned to
registration certificate,vehicle,A registration certificate is an official document providing proof of registration of a vehicle in the register.,registration certificate,,:issued for
registration identifier,vehicle,The register of road vehicles contains the numberic or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country.,,:*,
registration date,vehicle,The register of road vehicles contains the date on which the registration plate was assigned.,,:*,
third party insurance,vehicle,"Information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",third party insurance,,:covered by insurance
purpose,vehicle,"The purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator",,:purpose,
category,vehicle,The category of road vehicle,,vehicle category,
manufacturer's factory mark,vehicle,The manufacturer's factory mark as specified by the road vehicle manufacturer,,:factory mark,
trade name,vehicle,The trade name if specified by the road vehicle manufacturer,,:trade name,
type,vehicle,The type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer.,,:type,
engine data,vehicle,"The engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",engine,,:has engine
bodywork,vehicle,"Type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank,",,,:has bodywork
overall dimensions,vehicle,"The overall dimensions of the road vehicle,",,:dimensions,
weight,vehicle,"The maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle,",,-:max permissible weight per axle;:max technically permissible weight per axle;:max permissible operating weight;:max permissible weight;:max technically permissible weight,
coupling device,vehicle,"The type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination,",,:coupling device type,
technical inspections,vehicle,"Data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection,",technical inspection,,:inspected by
roadworthiness,vehicle,The municipal authority checks that the roadworthiness has been approved,,*,
third-party liability insurance,vehicle,The obligation to take out third-party liability insurance in respect of such a vehicle is fulfilled,third party insurance,,:covered by insurance
value added tax,vehicle,"Value added tax has been paid on the acquisition of the road vehicle from another member state, if a special legal provision so provides",valued added tax payment,,:value added tax paid
missing or stolen,vehicle,The road vehicle is not listed as missing or stolen in the Schengen Information System or in the information system of the state police or this information is not established by another procedure,missing or stolen road vehicle listing,,:is listed as missing or stolen in
incomplete,vehicle,It is not an incomplete road vehicle,incomplete vehicle,,*
type and category,vehicle,"The type and category of the road vehicle, the road vehicle's manufacturer's factory mark, its trade name, the type of road vehicle, and the purpose for which the road vehicle is intended",,+:type;vehicle category,
owner details,vehicle,Details of the owner of the road vehicle,,,:has owner
operator details,vehicle,Details of the operator of the road vehicle if the owner is not also the operator of the road vehicle,,,:has operator
usage,motorised road vehicle,"a motorised or non-motorised vehicle which is constructed for use on roads for the carriage of persons, animals or goods",,,
maximum technically permissible weight,motorised road vehicle,"maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle,",,max technically permissible weight,
maximum permissible weight,motorised road vehicle,"maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle,",,max permissible weight,
