text-name,R-strict-classes,R-construct-classes,R-isa-classes,R-list-classes,R-strict-attributes,R-construct-attributes,R-isa-attributes,R-list-attributes,R-strict-associations,R-construct-associations,R-isa-associations,R-list-associations,P-strict-classes,P-construct-classes,P-isa-classes,P-list-classes,P-strict-attributes,P-construct-attributes,P-isa-attributes,P-list-attributes,P-strict-associations,P-construct-associations,P-isa-associations,P-list-associations
aircraft-manufacturing-01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.94,0.94,0.94,0.94,1.00,1.00,1.00,1.00,0.73,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aircraft-manufacturing-02,1.00,1.00,1.00,1.00,0.90,0.90,0.90,0.90,0.94,0.94,0.94,0.94,1.00,1.00,1.00,1.00,0.60,0.84,0.84,0.88,1.00,1.00,1.00,1.00
aircraft-manufacturing-03,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.88,0.88,0.88,0.88,1.00,1.00,1.00,1.00,0.53,0.84,0.84,0.89,0.94,1.00,1.00,1.00
conference-papers-01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.52,0.81,0.81,0.89,0.77,1.00,1.00,1.00
conference-papers-02,1.00,1.00,1.00,1.00,0.92,0.92,0.92,0.92,0.71,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.57,0.95,0.95,0.95,0.89,1.00,1.00,1.00
conference-papers-03,0.86,0.86,0.86,0.86,1.00,1.00,1.00,1.00,0.82,0.94,0.94,0.94,1.00,1.00,1.00,1.00,0.58,0.83,0.83,1.00,0.80,0.95,0.95,1.00
farming-01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.78,0.78,0.78,0.78,1.00,1.00,1.00,1.00,0.63,0.98,0.98,0.98,0.71,0.94,0.94,0.97
farming-02,0.43,0.43,0.43,1.00,1.00,1.00,1.00,1.00,0.67,0.78,0.78,0.78,1.00,1.00,1.00,1.00,0.51,0.91,0.91,0.93,0.95,0.95,0.95,0.95
farming-03,0.71,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.83,1.00,1.00,1.00,1.00,0.49,0.92,0.92,0.92,0.82,0.96,0.96,1.00
college-01,0.30,0.57,0.57,0.68,0.64,0.64,0.71,0.79,0.34,0.36,0.40,0.42,1.00,1.00,1.00,1.00,0.34,0.56,0.56,0.80,0.60,0.72,0.72,0.80
zoological-gardens-01,0.79,0.93,0.93,0.93,0.88,0.96,0.96,1.00,0.54,0.67,0.71,0.71,0.92,1.00,1.00,1.00,0.67,0.90,0.90,0.94,0.56,0.93,0.93,1.00
registry-of-road-vehicles-01,0.32,0.53,0.53,0.80,0.52,0.52,0.59,0.82,0.45,0.54,0.58,0.58,0.96,0.96,0.96,0.96,0.37,0.65,0.65,0.85,0.75,0.91,0.91,0.93
all,0.54,0.70,0.70,0.85,0.80,0.81,0.84,0.92,0.55,0.61,0.63,0.64,0.99,0.99,0.99,0.99,0.49,0.79,0.79,0.89,0.73,0.88,0.88,0.92
