text-name,R-strict-classes,R-construct-classes,R-isa-classes,R-list-classes,R-strict-attributes,R-construct-attributes,R-isa-attributes,R-list-attributes,R-strict-associations,R-construct-associations,R-isa-associations,R-list-associations,P-strict-classes,P-construct-classes,P-isa-classes,P-list-classes,P-strict-attributes,P-construct-attributes,P-isa-attributes,P-list-attributes,P-strict-associations,P-construct-associations,P-isa-associations,P-list-associations
aircraft-manufacturing-01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,1.00,1.00,1.00,0.59,0.91,0.91,0.91,0.89,0.95,0.95,0.95
aircraft-manufacturing-02,1.00,1.00,1.00,1.00,0.90,0.90,0.90,0.90,0.81,0.88,0.88,0.88,1.00,1.00,1.00,1.00,0.75,1.00,1.00,1.00,0.88,0.96,0.96,0.96
aircraft-manufacturing-03,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.94,0.94,0.94,0.94,1.00,1.00,1.00,1.00,0.56,0.89,0.89,0.89,0.87,1.00,1.00,1.00
conference-papers-01,1.00,1.00,1.00,1.00,0.83,0.83,0.83,0.83,0.59,0.71,0.71,0.71,1.00,1.00,1.00,1.00,0.48,0.96,0.96,1.00,0.88,1.00,1.00,1.00
conference-papers-02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.48,0.96,0.96,0.96,0.94,1.00,1.00,1.00
conference-papers-03,0.86,0.86,0.86,0.86,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.63,1.00,1.00,1.00,0.86,1.00,1.00,1.00
farming-01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.72,0.78,0.78,0.78,1.00,1.00,1.00,1.00,0.69,0.98,0.98,0.98,0.66,0.98,0.98,1.00
farming-02,0.43,0.43,0.43,0.71,1.00,1.00,1.00,1.00,0.78,0.78,0.78,0.89,1.00,1.00,1.00,1.00,0.53,0.91,0.91,0.93,0.86,1.00,1.00,1.00
farming-03,0.71,0.71,0.71,1.00,1.00,1.00,1.00,1.00,0.78,0.78,0.78,0.78,1.00,1.00,1.00,1.00,0.57,0.95,0.95,0.95,0.64,0.93,0.93,1.00
college-01,0.30,0.68,0.68,0.73,0.93,0.93,0.93,0.93,0.39,0.44,0.47,0.50,1.00,1.00,1.00,1.00,0.41,0.71,0.71,0.82,0.79,0.89,0.89,0.94
zoological-gardens-01,0.79,0.93,0.93,0.93,0.73,0.73,0.73,0.73,0.79,0.83,0.83,0.83,0.92,1.00,1.00,1.00,0.81,0.96,0.96,0.96,0.72,0.95,0.95,1.00
registry-of-road-vehicles-01,0.32,0.58,0.58,0.58,0.72,0.72,0.79,0.87,0.52,0.62,0.64,0.66,0.96,0.96,0.96,0.96,0.52,0.88,0.88,0.97,0.81,0.96,0.96,0.97
all,0.54,0.73,0.73,0.78,0.86,0.86,0.88,0.91,0.59,0.65,0.66,0.68,0.99,0.99,0.99,0.99,0.57,0.90,0.90,0.95,0.80,0.95,0.95,0.97
