text-name,R-strict-classes,R-construct-classes,R-isa-classes,R-list-classes,R-strict-attributes,R-construct-attributes,R-isa-attributes,R-list-attributes,R-strict-associations,R-construct-associations,R-isa-associations,R-list-associations,P-strict-classes,P-construct-classes,P-isa-classes,P-list-classes,P-strict-attributes,P-construct-attributes,P-isa-attributes,P-list-attributes,P-strict-associations,P-construct-associations,P-isa-associations,P-list-associations
aircraft-manufacturing-01,0.62,0.88,0.88,0.88,0.80,0.80,0.80,0.80,0.56,0.69,0.69,0.69,1.00,1.00,1.00,1.00,0.40,0.80,0.80,0.80,0.81,0.94,0.94,0.94
aircraft-manufacturing-02,1.00,1.00,1.00,1.00,0.70,0.70,0.70,0.70,0.25,0.44,0.56,0.56,1.00,1.00,1.00,1.00,0.11,0.35,0.35,0.39,0.67,1.00,1.00,1.00
aircraft-manufacturing-03,1.00,1.00,1.00,1.00,0.90,0.90,0.90,0.90,0.56,0.81,0.81,0.81,0.56,0.56,0.56,0.56,0.16,0.29,0.29,0.29,0.71,0.86,0.86,0.86
conference-papers-01,1.00,1.00,1.00,1.00,0.67,0.83,0.83,0.83,0.59,0.76,0.76,0.76,1.00,1.00,1.00,1.00,0.22,0.57,0.57,0.57,0.75,1.00,1.00,1.00
conference-papers-02,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.92,0.24,0.71,0.71,0.71,1.00,1.00,1.00,1.00,0.17,0.44,0.44,0.47,0.75,0.75,0.75,0.88
conference-papers-03,0.71,0.86,0.86,0.86,1.00,1.00,1.00,1.00,0.53,0.59,0.59,0.59,1.00,1.00,1.00,1.00,0.36,0.52,0.52,0.67,0.50,0.79,0.79,0.96
farming-01,0.64,1.00,1.00,1.00,0.47,0.47,0.47,0.60,0.72,0.89,0.89,0.89,1.00,1.00,1.00,1.00,0.16,0.51,0.51,0.53,0.82,0.95,0.95,0.95
farming-02,0.43,0.71,0.71,1.00,0.73,0.73,0.73,0.73,0.33,0.78,0.78,0.78,1.00,1.00,1.00,1.00,0.20,0.53,0.53,0.53,0.88,0.88,0.88,0.88
farming-03,1.00,1.00,1.00,1.00,0.80,0.93,0.93,0.93,0.50,0.94,0.94,0.94,0.70,0.70,0.70,0.70,0.15,0.38,0.38,0.39,0.63,0.88,0.88,0.95
college-01,0.65,0.68,0.68,0.68,0.43,0.43,0.43,0.57,0.00,0.03,0.03,0.03,0.83,0.83,0.83,0.83,0.03,0.09,0.09,0.10,0.80,0.80,0.80,0.80
zoological-gardens-01,0.79,0.93,0.93,0.93,0.73,0.77,0.77,0.85,0.58,0.71,0.71,0.75,1.00,1.00,1.00,1.00,0.25,0.35,0.35,0.41,0.67,0.90,0.90,0.93
registry-of-road-vehicles-01,0.42,0.61,0.61,0.62,0.34,0.34,0.38,0.45,0.15,0.23,0.23,0.25,0.89,0.89,0.89,0.92,0.18,0.28,0.28,0.33,0.37,0.39,0.39,0.41
all,0.65,0.77,0.77,0.79,0.59,0.62,0.63,0.69,0.26,0.39,0.40,0.40,0.84,0.84,0.84,0.85,0.16,0.34,0.34,0.36,0.61,0.76,0.76,0.79
