text-name,R-strict-classes,R-construct-classes,R-isa-classes,R-list-classes,R-strict-attributes,R-construct-attributes,R-isa-attributes,R-list-attributes,R-strict-associations,R-construct-associations,R-isa-associations,R-list-associations,P-strict-classes,P-construct-classes,P-isa-classes,P-list-classes,P-strict-attributes,P-construct-attributes,P-isa-attributes,P-list-attributes,P-strict-associations,P-construct-associations,P-isa-associations,P-list-associations
aircraft-manufacturing-01,0.62,1.00,1.00,1.00,0.70,0.70,0.70,0.90,0.62,0.81,0.88,0.88,1.00,1.00,1.00,1.00,0.26,0.74,0.74,0.77,0.83,1.00,1.00,1.00
aircraft-manufacturing-02,1.00,1.00,1.00,1.00,0.70,0.80,0.80,0.80,0.44,0.69,0.69,0.69,1.00,1.00,1.00,1.00,0.30,0.62,0.62,0.68,0.75,1.00,1.00,1.00
aircraft-manufacturing-03,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.44,0.81,0.81,0.81,0.56,0.56,0.56,0.56,0.38,0.91,0.91,0.91,0.92,0.92,0.92,0.92
conference-papers-01,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,0.65,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.23,0.84,0.84,0.84,0.79,0.92,0.92,0.92
conference-papers-02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.71,0.88,0.88,0.88,1.00,1.00,1.00,1.00,0.40,0.90,0.90,0.90,0.80,0.92,0.92,0.92
conference-papers-03,0.71,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.71,0.71,0.71,1.00,1.00,1.00,1.00,0.38,0.86,0.86,0.97,0.59,0.96,0.96,0.96
farming-01,0.64,0.93,0.93,0.93,0.73,0.80,0.80,0.87,0.61,0.78,0.78,0.83,1.00,1.00,1.00,1.00,0.35,0.72,0.72,0.75,0.80,0.92,0.92,0.92
farming-02,0.43,0.79,0.79,1.00,0.80,0.87,0.87,0.87,0.61,0.78,0.78,0.83,1.00,1.00,1.00,1.00,0.32,0.70,0.70,0.72,0.60,0.77,0.77,0.81
farming-03,1.00,1.00,1.00,1.00,0.87,0.87,0.87,0.87,0.56,0.89,0.89,0.89,0.70,0.70,0.70,0.70,0.34,0.75,0.75,0.76,0.65,0.81,0.81,0.87
college-01,0.65,0.81,0.81,0.83,0.79,0.79,0.79,0.79,0.35,0.38,0.41,0.48,0.83,0.83,0.83,0.83,0.32,0.70,0.70,0.79,0.73,0.87,0.87,0.94
zoological-gardens-01,0.79,0.93,0.93,0.93,0.69,0.69,0.69,0.73,0.75,0.92,0.92,0.96,1.00,1.00,1.00,1.00,0.62,0.85,0.85,0.89,0.62,0.89,0.89,0.95
registry-of-road-vehicles-01,0.42,0.79,0.79,0.80,0.68,0.68,0.79,0.90,0.37,0.49,0.58,0.58,0.89,0.89,0.89,0.92,0.42,0.77,0.77,0.92,0.75,0.94,0.94,0.97
all,0.65,0.87,0.87,0.89,0.77,0.78,0.82,0.87,0.47,0.60,0.63,0.66,0.84,0.84,0.84,0.85,0.38,0.76,0.76,0.82,0.72,0.90,0.90,0.93
