Generated class,Matches class,Matches attribute,Matches association
college,college,,
public college,public college,,
faculty,faculty,,
university college,university,,
non-university college,non university college,,
state-owned college,state owned college,,
military college,military college,,
police college,police college,,
academic staff,academic staff,,
full professor,*,,
associate professor,*,,
extraordinary professor,*,,
assistant professor,*,,
assistant lecturer,*,,
lecturer,*,,
scientific staff,*,,
research staff,*,,
development staff,*,,
student,student,,
academic community,academic community,,
academic senate,academic senate,,
rector,rector,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary committee,*,,
board of trustees,board of trustees,,
bursar,bursar,,
chairperson,*,,
vice-rector,*,,
dean,*,,
vice-dean,*,,
faculty secretary,*,,
director,*,,
study programme,study programme,,
Bachelor's degree programme,bachelor study programme,,
Master's degree programme,master study programme,,
Doctoral degree programme,doctoral study programme,,
supervisor,supervisor,,
subject board,subject board,,
subject,subject,,
lecture,*,,
tutorial,*,,
seminar,*,,
proseminar,*,,
course,*,,
practical training,*,,
internship,*,,
special course,*,,
laboratory class,*,,
field trip,*,,
fieldwork,*,,
individual work,*,,
consultation,*,,
examiner,*,,
