Generated class,Matches class,Matches attribute,Matches association
Road Vehicle Register,,,
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non-motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
vehicle category,*,,
motorized road vehicles,motorised road vehicle,,
motorcycles,motorcycle,,
passenger cars,passenger car,,
buses,bus,,
lorries,lorry,,
special purpose vehicles,special purpose vehicle,,
powered wheelchairs,powered wheelchair,,
trailers,trailer,,
agricultural or forestry tractors,+agricultural tractor;forestry tractor,,
self-propelled work machines,self propelled work machine,,
work machines carried,work machine carried,,
work machines attached,work machine attached,,
interchangeable towed equipment,interchangeable towed equipment,,
vehicles designed primarily for driving on snow,snow vehicle,,
vehicles designed primarily for off-road driving,off road vehicle,,
single-axle tractors,single axle tractor,,
special tractors,special tractor,,
carriers of working adaptors,carrier of working adaptors,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component of a vehicle,structural component,,
separate technical unit of a vehicle,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
owner,*,,
operator,*,,
registration plate,registration plate,,
registration certificate,registration certificate,,
technical inspection,technical inspection,,
technical inspection station,technical inspection station,,
emission measurement station,*,,
green card,green card,,
third party insurance,third party insurance,,
policyholder,policyholder,,
insurer,insurer,,
