Generated class,Matches class,Matches attribute,Matches association
road vehicle register,,,
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
vehicle category,*,,
motorcycle,motorcycle,,
passenger car,passenger car,,
bus,bus,,
lorry,lorry,,
special purpose vehicle,special purpose vehicle,,
powered wheelchair,powered wheelchair,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component,structural component,,
separate technical unit,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
owner,*,,
operator,*,,
registration plate,registration plate,,
registration certificate,registration certificate,,
insurance office,*,,
insurers bureau,*,,
technical inspection,technical inspection,,
technical inspection station,technical inspection station,,
emission measurement station,*,,
defect record,*,,
technical inspection report,*,,
green card,green card,,
third party insurance,third party insurance,,
policyholder,policyholder,,
insurer,insurer,,
insurance contract,insurance contract,,
