Generated class,Matches class,Matches attribute,Matches association
road vehicle register,,,
road vehicle,road vehicle,,
motorised vehicle,motorised vehicle,,
non-motorised vehicle,non motorised vehicle,,
special vehicle,special vehicle,,
vehicle category,*,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component of a vehicle,structural component,,
separate technical unit of a vehicle,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
natural person,natural person,,
legal person,legal person,,
registration plate,registration plate,,
registration certificate,registration certificate,,
third party insurance,third party insurance,,
policyholder,policyholder,,
insurance contract,insurance contract,,
insurance company,insurer,,
technical inspection station,technical inspection station,,
emission measurement station,*,,
inspection technician,inspection technician,,
regional authority,*,,
