Generated class,Matches class,Matches attribute,Matches association
road vehicle register,,,
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non-motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
vehicle category,*,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component,structural component,,
separate technical unit,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
owner,*,,
operator,*,,
registration plate,registration plate,,
registration certificate,registration certificate,,
technical inspection station,technical inspection station,,
emission measurement station,*,,
green card,green card,,
