Generated class,Matches class,Matches attribute,Matches association
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
vehicle system,vehicle system,,
structural component,structural component,,
separate technical unit,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
municipal authority,municipal authority,,
application,*,,
operator,*,,
emission measurement station,*,,
technical inspection station,technical inspection station,,
technical inspection,technical inspection,,
