Generated class,Matches class,Matches attribute,Matches association
college,college,,
faculty,faculty,,
academic staff,academic staff,,
student,student,,
study programme,study programme,,
bachelor study programme,bachelor study programme,,
master study programme,master study programme,,
doctoral study programme,doctoral study programme,,
subject,subject,,
rector,rector,,
academic senate,academic senate,,
board of trustees,board of trustees,,
bursar,bursar,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary board,disciplinary board,,
