Generated class,Matches class,Matches attribute,Matches association
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non-motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component,structural component,,
separate technical unit,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
owner,*,,
operator,*,,
registration plate,registration plate,,
registration certificate,registration certificate,,
technical inspection station,technical inspection station,,
emission measurement station,*,,
green card,green card,,
third party insurance,third party insurance,,
policyholder,policyholder,,
insurer,insurer,,
