Generated class,Matches class,Matches attribute,Matches association
college,college,,
faculty,faculty,,
higher education activity,,,
study programmes,study programme,,
university,university,,
non-university college,non university college,,
legal persons,legal person,,
academic staff,academic staff,,
professionals,professional,,
student,student,,
academic community,academic community,,
self-governing academic bodies,self governing academic body,,
other bodies,*,,
academic senate,academic senate,,
rector,rector,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary board,disciplinary board,,
board of trustees,board of trustees,,
bursar,bursar,,
