Generated class,Matches class,Matches attribute,Matches association
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
vehicle category,*,,
motorized road vehicle,motorised vehicle,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component,structural component,,
separate technical unit,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
registration plate,registration plate,,
registration certificate,registration certificate,,
