Generated class,Matches class,Matches attribute,Matches association
college,college,,
faculty,faculty,,
study programme,study programme,,
academic staff,academic staff,,
student,student,,
academic community,academic community,,
academic senate,academic senate,,
rector,rector,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary committee,*,,
board of trustees,board of trustees,,
bursar,bursar,,
subject,subject,,
supervisor,supervisor,,
subject board,subject board,,
examiner,*,,
