Generated class,Matches class,Matches attribute,Matches association
Road Vehicle Register,,,
vehicle,vehicle,,
motorised vehicle,motorised vehicle,,
non-motorised vehicle,non motorised vehicle,,
road vehicle,road vehicle,,
special vehicle,special vehicle,,
vehicle category,*,,
motorcycles,motorcycle,,
passenger cars,passenger car,,
buses,bus,,
lorries,lorry,,
special purpose vehicles,special purpose vehicle,,
powered wheelchairs,powered wheelchair,,
agricultural tractors,agricultural tractor,,
forestry tractors,forestry tractor,,
trailers,trailer,,
self-propelled work machines,self propelled work machine,,
work machines carried,work machine carried,,
work machines attached,work machine attached,,
interchangeable towed equipment,interchangeable towed equipment,,
vehicles designed for driving on snow,snow vehicle,,
vehicles designed for off-road driving,off road vehicle,,
single-axle tractors,single axle tractor,,
special tractors,special tractor,,
carriers of working adaptors,carrier of working adaptors,,
trailer,trailer,,
vehicle system,vehicle system,,
structural component,structural component,,
separate technical unit,separate technical unit,,
manufacturer,manufacturer,,
incomplete vehicle,incomplete vehicle,,
owner,*,,
operator,*,,
natural person,natural person,,
legal person,legal person,,
branch,*,,
registration plate,registration plate,,
registration certificate,registration certificate,,
third party insurance,third party insurance,,
policyholder,policyholder,,
insurer,insurer,,
technical inspection,technical inspection,,
technical inspection station,technical inspection station,,
emission measurement station,*,,
inspection technician,inspection technician,,
defect,defect,,
minor defect,minor defect,,
serious defect,serious defect,,
dangerous defect,dangerous defect,,
inspection sticker,inspection sticker,,
