Generated class,Matches class,Matches attribute,Matches relationship
agriculture,,,
individual,*,,
farmer,farmer,,
name,,,
age,,,
machinery,machinery,,
type,,,
tractor,tractor,,
planter,planter,,
harvester,harvester,,
sprayer,sprayer,,
model,*,,
year,,,
field,field,,
size,,,
soil,*,,
topography,,,
irrigation,*,,
gps,*,,
fence,*,,
crop,crop,,
category,,,
fruit,fruit,,
vegetable,vegetable,,
seed,seed plant,,
cereal,cereal,,
cultivated variety,*,,
planting,planting,,
date,,,
harvest,harvest,,
quantity,,,
quality,,,
factor,*,,
ripeness,,,
nutritional value,*,,
pest,*,,
disease,*,,
activity,*,,
field preparation,*,,
harvesting,*,,
