Generated class,Matches class,Matches attribute,Matches association
Colleges,college,,
Public College,public college,,
Private College,private college,,
State-Owned College,state owned college,,
University College,university,,
Non-University College,non university college,,
Military College,military college,,
Police College,police college,,
Faculties,faculty,,
Faculty,faculty,,
Academic Staff,academic staff,,
Full Professors,*,,
Associate Professors,*,,
Extraordinary Professors,*,,
Assistant Professors,*,,
Assistant Lecturers,*,,
Lecturers,*,,
Scientific Staff,*,,
Research Staff,*,,
Development Staff,*,,
Students,student,,
Student,student,,
Academic Community,academic community,,
Members of the Academic Community,academic community member,,
Bodies of a Public College,public college body,,
Academic Senate,academic senate,,
Rector,rector,,
Scientific Council,scientific council,,
Internal Evaluation Board,internal evaluation board,,
Disciplinary Committee,*,,
Board of Trustees,board of trustees,,
Bursar,bursar,,
