Generated class,Matches class,Matches attribute,Matches association
RoadVehicleRegister,,,
RoadVehicle,road vehicle,,
Vehicle,vehicle,,
MotorisedVehicle,motorised vehicle,,
NonMotorisedVehicle,non motorised vehicle,,
SpecialVehicle,special vehicle,,
VehicleCategory,*,,
Manufacturer,manufacturer,,
Owner,*,,
Operator,*,,
Trailer,trailer,,
VehicleSystem,vehicle system,,
StructuralComponent,structural component,,
SeparateTechnicalUnit,separate technical unit,,
Person,person,,
NaturalPerson,natural person,,
LegalPerson,legal person,,
RegistrationPlate,registration plate,,
RegistrationCertificate,registration certificate,,
ThirdPartyInsurance,third party insurance,,
Policyholder,policyholder,,
Insurer,insurer,,
TechnicalInspection,technical inspection,,
TechnicalInspectionStation,technical inspection station,,
EmissionMeasurementStation,*,,
