Generated class,Matches class,Matches attribute,Matches association
ZoologicalGarden,zoological garden,,
Animal,animal,,
Species,species,,
SpeciesName,,,
SpeciesCommonName,,,
IUCNStatus,,,
Diet,diet,,
FeedingSchedule,*,,
FeedingTechnique,*,,
ReproductiveDetails,*,,
OviparousSpecies,*,,
Enclosure,enclosure,,
ClimateConditions,climate conditions,,
StaffMember,staff member,,
Zoologist,zoologist,,
Veterinarian,veterinarian,,
Caretaker,caretaker,,
AdministrativePersonnel,administrative personnel,,
Expertise,*,,
ConservationProgram,conservation program,,
Reintroduction,reintroduction conservation programs,,
