Generated class,Matches class,Matches attribute,Matches association
college,college,,
faculty,faculty,,
study programme,study programme,,
academic staff,academic staff,,
student,student,,
academic community,academic community,,
body,body,,
academic senate,academic senate,,
rector,rector,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary committee,*,,
board of trustees,board of trustees,,
bursar,bursar,,
field of education,education field,,
bachelor degree programme,bachelor study programme,,
master degree programme,master study programme,,
doctoral programme,doctoral study programme,,
subject,subject,,
curriculum,curriculum,,
examiner,*,,
unit of study,*,,
examination,examination,,
