Generated class,Matches class,Matches attribute,Matches association
college,college,,
faculty,faculty,,
study programme,study programme,,
bachelor study programme,bachelor study programme,,
master study programme,master study programme,,
doctoral study programme,doctoral study programme,,
subject,subject,,
academic community,academic community,,
academic senate,academic senate,,
rector,rector,,
scientific council,scientific council,,
internal evaluation board,internal evaluation board,,
disciplinary committee,*,,
board of trustees,board of trustees,,
bursar,bursar,,
