Time stamp,Characterize yourself,"In general, I find it better to create conceptual models with such an assistant compared to just manual modelling.",I found the assistant intuitive to use.,"The assistant suggested appropriate classes, attributes and associations.","The assistant suggested appropriate descriptions of classes, attributes and associations.",The assistant helped me to solve the given tasks faster compared to just manual modelling.,I was able to solve all the given tasks using only the assistant and manual modelling was not needed.,"Highlighting in the text (the ""Highlight original text"" button) helped me to make sure that I completed both tasks."
18.5.2024 13:11:11,"Teacher, Modeling expert, Database expert, Programmer",4,4,4,4,4,4,5
20.5.2024 12:24:18,Teacher,3,2,2,1,3,1,3
20.5.2024 13:48:18,"Student, Programmer",3,3,3,4,3,2,4
20.5.2024 23:25:27,"Student, Programmer",3,2,3,3,4,1,3
21.5.2024 19:57:53,Student,3,2,3,3,3,2,4
21.5.2024 20:24:57,"Student, Programmer",4,3,3,3,4,2,3
22.5.2024 8:26:31,Teacher,4,3,3,3,3,3,2
23.5.2024 10:02:25,"Teacher, Database expert, Programmer",3,3,2,3,2,1,2
23.5.2024 12:00:00,"Teacher, Programmer",3,4,3,3,2,2,4
23.5.2024 13:46:49,"Teacher, Modeling expert, Programmer",3,4,2,4,2,3,4
23.5.2024 14:23:24,"Teacher, Modeling expert, Database expert",1,4,1,1,1,0,3
23.5.2024 14:35:43,Teacher,2,3,2,4,1,2,4
23.5.2024 15:43:01,"Student, Teacher, Database expert, Programmer",3,4,1,4,3,0,1
25.5.2024 17:27:15,"Teacher, Modeling expert, Database expert",4,3,3,3,4,2,4
25.5.2024 22:34:36,Manager,2,2,3,3,2,1,1
27.5.2024 11:58:16,Modeling expert,4,3,4,4,4,3,2
29.5.2024 8:57:19,"Teacher, Modeling expert, Database expert, Programmer",4,3,2,3,4,1,3
29.5.2024 21:59:52,Programmer,3,3,3,3,3,1,2
1.6.2024 0:51:17,Teacher,4,3,4,3,4,3,3
